race_id,combo,odds
150138,1-2-3,30.3
150138,2-1-3,236.4
150138,3-1-2,331
150138,4-1-2,40.4
150138,5-1-2,808.6
150138,6-1-2,140.9
150138,1-2-4,10
150138,2-1-4,100.2
150138,3-1-4,225.9
150138,4-1-3,81.2
150138,5-1-3,954.8
150138,6-1-3,256.2
150138,1-2-5,71
150138,2-1-5,507.7
150138,3-1-5,656.7
150138,4-1-5,67.8
150138,5-1-4,396.5
150138,6-1-4,60
150138,1-2-6,17.2
150138,2-1-6,141
150138,3-1-6,364
150138,4-1-6,16.2
150138,5-1-6,457.2
150138,6-1-5,215.5
150138,1-3-2,48.3
150138,2-3-1,538.5
150138,3-2-1,546.8
150138,4-2-1,127.9
150138,5-2-1,1581
150138,6-2-1,319.1
150138,1-3-4,23.1
150138,2-3-4,883.5
150138,3-2-4,780.7
150138,4-2-3,378.4
150138,5-2-3,2216
150138,6-2-3,1154
150138,1-3-5,115.4
150138,2-3-5,1970
150138,3-2-5,1477
150138,4-2-5,437.8
150138,5-2-4,2121
150138,6-2-4,391.5
150138,1-3-6,33.1
150138,2-3-6,1426
150138,3-2-6,1523
150138,4-2-6,162
150138,5-2-6,2051
150138,6-2-5,1182
150138,1-4-2,7.5
150138,2-4-1,205
150138,3-4-1,447.3
150138,4-3-1,317
150138,5-3-1,1939
150138,6-3-1,701.3
150138,1-4-3,17.2
150138,2-4-3,573.3
150138,3-4-2,969.7
150138,4-3-2,680.1
150138,5-3-2,2991
150138,6-3-2,1799
150138,1-4-5,28.9
150138,2-4-5,906
150138,3-4-5,2140
150138,4-3-5,1051
150138,5-3-4,2886
150138,6-3-4,977.4
150138,1-4-6,4.7
150138,2-4-6,319.5
150138,3-4-6,800.8
150138,4-3-6,441.7
150138,5-3-6,2955
150138,6-3-5,2458
150138,1-5-2,169.5
150138,2-5-1,919.5
150138,3-5-1,1601
150138,4-5-1,172.1
150138,5-4-1,609.9
150138,6-4-1,69
150138,1-5-3,230
150138,2-5-3,1273
150138,3-5-2,2342
150138,4-5-2,487.7
150138,5-4-2,1571
150138,6-4-2,207.7
150138,1-5-4,76.6
150138,2-5-4,1171
150138,3-5-4,2853
150138,4-5-3,510.8
150138,5-4-3,1581
150138,6-4-3,481.1
150138,1-5-6,109.1
150138,2-5-6,1149
150138,3-5-6,2533
150138,4-5-6,203.1
150138,5-4-6,709.3
150138,6-4-5,245
150138,1-6-2,24.3
150138,2-6-1,347.2
150138,3-6-1,771
150138,4-6-1,28.5
150138,5-6-1,838.7
150138,6-5-1,531.6
150138,1-6-3,44.5
150138,2-6-3,865
150138,3-6-2,1812
150138,4-6-2,82.3
150138,5-6-2,1986
150138,6-5-2,1334
150138,1-6-4,10.5
150138,2-6-4,447.3
150138,3-6-4,1088
150138,4-6-3,190
150138,5-6-3,1852
150138,6-5-3,1880
150138,1-6-5,65.8
150138,2-6-5,1079
150138,3-6-5,1825
150138,4-6-5,98.5
150138,5-6-4,1005
150138,6-5-4,589.7
150139,1-2-3,27.1
150139,2-1-3,43.2
150139,3-1-2,456.2
150139,4-1-2,62.1
150139,5-1-2,77.2
150139,6-1-2,192.6
150139,1-2-4,6
150139,2-1-4,11.1
150139,3-1-4,898.4
150139,4-1-3,464.2
150139,5-1-3,518.9
150139,6-1-3,1314
150139,1-2-5,9.9
150139,2-1-5,17.1
150139,3-1-5,943.4
150139,4-1-5,88.9
150139,5-1-4,159.8
150139,6-1-4,407.6
150139,1-2-6,11
150139,2-1-6,15.7
150139,3-1-6,1200
150139,4-1-6,91
150139,5-1-6,127.1
150139,6-1-5,504.1
150139,1-3-2,77.7
150139,2-3-1,183.5
150139,3-2-1,474.2
150139,4-2-1,76.1
150139,5-2-1,83.4
150139,6-2-1,183.1
150139,1-3-4,152.7
150139,2-3-4,255.7
150139,3-2-4,854.8
150139,4-2-3,402
150139,5-2-3,402.6
150139,6-2-3,1019
150139,1-3-5,188.6
150139,2-3-5,305.7
150139,3-2-5,825.4
150139,4-2-5,95.9
150139,5-2-4,139.4
150139,6-2-4,294.1
150139,1-3-6,245.9
150139,2-3-6,351.7
150139,3-2-6,1035
150139,4-2-6,80
150139,5-2-6,93
150139,6-2-5,380
150139,1-4-2,17.2
150139,2-4-1,37
150139,3-4-1,1535
150139,4-3-1,1044
150139,5-3-1,1375
150139,6-3-1,2317
