race_id,combo,odds
145301,1-2-3,5.9
145301,2-1-3,46.2
145301,3-1-2,184.6
145301,4-1-2,58.4
145301,5-1-2,437
145301,6-1-2,1421
145301,1-2-4,4.7
145301,2-1-4,40
145301,3-1-4,142.6
145301,4-1-3,78
145301,5-1-3,648.1
145301,6-1-3,1786
145301,1-2-5,21.4
145301,2-1-5,157.2
145301,3-1-5,395.2
145301,4-1-5,68.8
145301,5-1-4,308.1
145301,6-1-4,1469
145301,1-2-6,42.6
145301,2-1-6,229.3
145301,3-1-6,686.8
145301,4-1-6,155.9
145301,5-1-6,701.4
145301,6-1-5,2726
145301,1-3-2,11.8
145301,2-3-1,204.5
145301,3-2-1,350.2
145301,4-2-1,131.1
145301,5-2-1,947.7
145301,6-2-1,2167
145301,1-3-4,11.3
145301,2-3-4,344.3
145301,3-2-4,497
145301,4-2-3,401.2
145301,5-2-3,1798
145301,6-2-3,3724
145301,1-3-5,32.6
145301,2-3-5,905.5
145301,3-2-5,1024
145301,4-2-5,338.5
145301,5-2-4,861.3
145301,6-2-4,3264
145301,1-3-6,80.2
145301,2-3-6,1235
145301,3-2-6,1751
145301,4-2-6,631
145301,5-2-6,1888
145301,6-2-5,3946
145301,1-4-2,6.7
145301,2-4-1,146.2
145301,3-4-1,247.1
145301,4-3-1,202.4
145301,5-3-1,1391
145301,6-3-1,2938
145301,1-4-3,9.6
145301,2-4-3,365.2
145301,3-4-2,600.9
145301,4-3-2,534.2
145301,5-3-2,2049
145301,6-3-2,4481
145301,1-4-5,16.1
145301,2-4-5,617.8
145301,3-4-5,931
145301,4-3-5,619.2
145301,5-3-4,1862
145301,6-3-4,3039
145301,1-4-6,43.1
145301,2-4-6,931
145301,3-4-6,1377
145301,4-3-6,1066
145301,5-3-6,3305
145301,6-3-5,4721
145301,1-5-2,48.1
145301,2-5-1,685
145301,3-5-1,1032
145301,4-5-1,127.1
145301,5-4-1,381
145301,6-4-1,1684
145301,1-5-3,67.9
145301,2-5-3,1583
145301,3-5-2,2018
145301,4-5-2,253.7
145301,5-4-2,724.4
145301,6-4-2,2754
145301,1-5-4,45.4
145301,2-5-4,1191
145301,3-5-4,1751
145301,4-5-3,453.5
145301,5-4-3,1384
145301,6-4-3,2698
145301,1-5-6,138.5
145301,2-5-6,2425
145301,3-5-6,3434
145301,4-5-6,318.2
145301,5-4-6,944.3
145301,6-4-5,3147
145301,1-6-2,144.4
145301,2-6-1,1032
145301,3-6-1,1811
145301,4-6-1,431.3
145301,5-6-1,1875
145301,6-5-1,4068
145301,1-6-3,289.3
145301,2-6-3,2319
145301,3-6-2,3074
145301,4-6-2,842.1
145301,5-6-2,3390
145301,6-5-2,4264
145301,1-6-4,174.3
145301,2-6-4,2203
145301,3-6-4,2843
145301,4-6-3,1175
145301,5-6-3,3946
145301,6-5-3,4639
145301,1-6-5,276.8
145301,2-6-5,3224
145301,3-6-5,4006
145301,4-6-5,707
145301,5-6-4,2003
145301,6-5-4,3479
145302,1-2-3,5.5
145302,2-1-3,21.7
145302,3-1-2,142.3
145302,4-1-2,109.1
145302,5-1-2,177.5
145302,6-1-2,388.7
145302,1-2-4,6.4
145302,2-1-4,18.1
145302,3-1-4,222.7
145302,4-1-3,259
145302,5-1-3,388.2
145302,6-1-3,1103
145302,1-2-5,8.4
145302,2-1-5,22.9
145302,3-1-5,198.7
145302,4-1-5,150.3
145302,5-1-4,362.8
145302,6-1-4,704.7
145302,1-2-6,21.7
145302,2-1-6,44.6
145302,3-1-6,419.2
145302,4-1-6,220.1
145302,5-1-6,366.8
145302,6-1-5,911.5
145302,1-3-2,12.6
145302,2-3-1,82.1
145302,3-2-1,208.6
145302,4-2-1,148.9
145302,5-2-1,242.1
145302,6-2-1,485.6
145302,1-3-4,26.7
145302,2-3-4,165
145302,3-2-4,389.3
145302,4-2-3,443.6
145302,5-2-3,556.4
145302,6-2-3,1526
145302,1-3-5,25
145302,2-3-5,168.6
145302,3-2-5,404
145302,4-2-5,229.4
