race_id,combo,amount
142613,1-5-4,2380
142614,3-4-5,2850
142615,2-5-1,14910
142616,2-3-4,1650
142617,1-2-5,810
142618,3-5-2,2230
142619,3-6-5,13360
142620,2-5-4,10980
142621,4-1-2,4500
142622,1-4-5,9090
142623,1-2-4,600
142624,1-2-3,1190
142565,4-3-5,2370
142566,3-5-1,5200
142567,1-6-5,20090
142568,4-5-3,68000
142569,5-1-2,14170
142570,1-5-3,1530
142571,2-1-6,11250
142572,1-4-2,1470
142573,1-3-5,770
142574,1-4-3,3260
142575,1-4-6,2990
142576,2-1-3,1580
142661,1-2-3,740
142662,1-3-2,680
142663,4-3-6,27970
142664,1-2-6,1410
142665,3-1-2,5650
142666,2-1-4,6100
142667,1-2-4,910
142668,5-4-3,9080
142669,1-2-3,1290
142670,1-6-2,7140
142671,1-2-3,680
142672,1-5-3,2800
142625,1-3-4,1660
142626,1-2-5,1080
142627,1-3-4,3440
142628,4-2-5,1530
142629,1-3-4,690
142630,3-1-4,4050
142631,2-4-3,1480
142632,6-3-1,9260
142633,5-6-4,57240
142634,1-2-6,10950
142635,3-2-4,25350
142636,1-5-3,2130
142589,4-6-3,18690
142590,2-5-3,1410
142591,1-5-2,950
142592,5-4-1,9200
142593,1-6-2,6800
142594,1-2-4,550
142595,5-1-3,2590
142596,1-2-5,2800
142597,1-2-6,710
142598,1-3-5,640
142599,1-3-5,700
142600,1-2-4,560
142553,3-6-5,5360
142554,2-4-3,20670
142555,1-2-4,1940
142556,1-5-2,4190
142557,2-4-6,8980
142558,2-5-1,18830
142559,3-2-5,3840
142560,3-1-2,4030
142561,1-3-2,2260
142562,3-1-4,3340
142563,1-2-6,1760
142564,1-5-3,2440
142529,3-4-2,9360
142530,3-4-5,3490
142531,2-3-4,32560
142532,3-5-4,15310
142533,1-6-4,1630
142534,5-4-1,9620
142535,1-2-3,820
142536,1-2-5,630
142537,2-1-3,1750
142538,3-1-2,12980
142539,5-1-4,7020
142540,3-5-4,65730
142577,4-1-2,3540
142578,2-1-6,6570
142579,1-2-6,1690
142580,1-2-5,1910
142581,1-4-5,7210
142582,1-2-4,520
142583,1-5-4,9870
142584,3-2-5,9740
142585,4-5-3,28180
142586,2-3-5,11780
142587,1-3-4,610
142588,1-5-4,5730
142649,1-4-2,1400
142650,1-4-2,590
142651,1-5-2,2800
142652,1-2-5,3260
142653,1-6-2,8280
142654,1-5-2,9320
142655,1-5-2,1140
142656,2-1-6,830
142657,1-4-3,1770
142658,1-5-3,8850
142659,5-4-1,9560
142660,1-5-3,570
142637,1-3-4,1430
142638,2-1-5,7890
142639,4-3-2,4400
142640,4-1-2,8580
142641,4-1-2,1920
142642,2-5-1,1890
142643,1-4-6,1260
142644,1-2-6,1390
142645,1-2-6,590
142646,3-4-1,9190
142647,1-3-4,1080
142648,1-3-2,1160
142601,1-5-2,4460
142602,3-2-4,8030
142603,3-4-1,6030
142604,1-2-5,1400
142605,4-5-6,3180
142606,2-3-4,1110
142607,5-3-2,3240
142608,1-2-4,1000
142609,2-3-1,1320
142610,2-4-1,3120
142611,1-2-5,800
142612,1-6-2,4530
