race_id,combo,amount
144797,1-4-5,1560
144798,2-4-1,2470
144799,1-2-3,800
144800,1-4-5,760
144801,3-4-6,6540
144802,1-6-4,3670
144803,1-4-5,3180
144804,3-1-4,740
144805,2-1-3,1390
144806,1-5-2,2070
144807,5-2-4,183200
144808,1-6-3,4840
144845,5-2-1,2610
144846,5-1-6,1520
144847,1-3-4,500
144848,1-2-4,1420
144849,4-1-2,2590
144850,4-5-2,1580
144851,1-5-2,410
144852,2-4-3,37850
144853,1-5-4,2980
144854,1-5-3,1120
144855,1-2-3,920
144856,2-3-6,24380
144821,2-6-3,12870
144822,5-1-4,13090
144823,3-5-1,6940
144824,6-1-5,34840
144825,1-5-6,10230
144826,3-1-4,1930
144827,2-3-4,4110
144828,3-5-4,3780
144829,1-3-4,710
144830,1-2-5,3630
144831,1-3-2,610
144832,5-1-6,4920
144773,1-3-5,590
144774,6-1-2,141640
144775,2-3-1,3610
144776,2-3-5,690
144777,2-1-3,2400
144778,1-2-4,1750
144779,3-4-5,2350
144780,1-2-4,640
144781,1-2-6,2140
144782,1-3-6,520
144783,1-4-2,470
144784,4-1-3,7110
144737,1-3-4,1430
144738,3-4-5,2570
144739,2-3-5,1250
144740,1-2-5,4150
144741,5-6-2,20190
144742,3-6-1,2400
144743,1-2-3,1060
144744,4-1-5,4930
144745,1-5-4,3550
144746,5-1-4,28340
144747,1-3-4,3360
144748,3-6-4,6600
144833,3-1-5,3690
144834,1-4-3,1210
144835,4-2-6,8930
144836,1-2-5,770
144837,4-3-5,23730
144838,3-4-6,16520
144839,1-4-2,1370
144840,1-2-3,980
144841,3-1-4,1660
144842,4-5-6,45270
144843,1-3-2,1230
144844,1-5-3,2250
144725,5-2-3,7460
144726,2-1-4,1270
144727,6-1-3,47590
144728,1-4-6,21060
144729,1-4-2,990
144730,4-1-6,6860
144731,3-1-2,2920
144732,2-4-5,3970
144733,4-2-1,3530
144734,3-1-5,5640
144735,4-1-6,3920
144736,1-3-5,2740
144785,1-3-2,440
144786,1-3-5,1070
144787,4-3-1,4880
144788,3-4-1,20270
144789,2-1-3,1760
144790,5-6-2,8650
144791,4-6-1,7630
144792,1-5-2,2150
144793,1-2-4,1260
144794,1-2-3,1210
144795,1-5-2,3230
144796,4-1-2,20620
144749,3-5-6,3530
144750,1-3-6,5730
144751,3-1-2,7130
144752,1-2-3,820
144753,1-6-2,2650
144755,1-2-3,900
144756,3-1-4,4190
144757,1-3-6,620
144758,1-3-5,2110
144759,4-2-6,11560
144760,3-1-4,2730
144809,1-4-2,2620
144810,4-2-5,8170
144811,2-1-4,2210
144812,1-3-4,780
144813,3-5-1,4250
144814,5-2-6,7460
144815,1-2-4,3060
144816,2-1-3,970
144817,3-1-4,830
144818,1-4-2,990
144819,1-2-5,1470
144820,1-2-3,420
144881,3-1-4,3400
144882,2-1-4,2100
144883,3-1-6,1290
144884,4-3-2,1900
144885,6-5-3,45390
144886,1-3-2,1160
144887,3-5-2,18510
144888,1-6-2,1440
144889,2-1-4,1530
144890,1-2-6,1970
144891,1-4-6,1730
144892,1-4-2,760
144869,1-2-3,1480
144870,1-4-3,640
144871,5-1-3,1640
144872,1-2-3,1220
144873,4-3-1,51260
144874,2-4-3,4920
144875,1-5-2,1490
144876,1-6-2,1990
144877,4-3-1,24520
144878,1-2-3,980
144879,1-2-3,580
144880,1-2-3,490
144857,1-4-3,1270
144858,5-3-6,13790
144859,1-5-4,2760
144860,1-4-5,940
144861,1-2-3,570
144862,1-5-2,1850
144863,1-6-4,1120
144864,2-3-1,990
144865,1-2-3,440
144866,1-3-6,3210
144867,1-2-3,440
144868,1-5-2,3300
144761,2-3-5,4750
144762,1-2-4,1570
144763,1-3-4,910
144764,2-3-5,3230
144765,5-4-3,51640
144766,2-3-6,1490
144767,1-4-3,1920
144768,1-4-2,3160
144769,1-6-5,4540
144770,1-6-2,5490
144771,1-5-6,3450
144772,1-3-2,1170
