race_id,combo,odds
143381,1-2-3,7.3
143381,2-1-3,35.3
143381,3-1-2,65.4
143381,4-1-2,179.9
143381,5-1-2,192.3
143381,6-1-2,112.1
143381,1-2-4,23.3
143381,2-1-4,54.9
143381,3-1-4,101.6
143381,4-1-3,219.9
143381,5-1-3,208.2
143381,6-1-3,158.9
143381,1-2-5,23
143381,2-1-5,56.8
143381,3-1-5,77.4
143381,4-1-5,155.1
143381,5-1-4,313.5
143381,6-1-4,152.2
143381,1-2-6,10.9
143381,2-1-6,32.4
143381,3-1-6,72.7
143381,4-1-6,202.3
143381,5-1-6,240.5
143381,6-1-5,101.1
143381,1-3-2,13.9
143381,2-3-1,87.2
143381,3-2-1,109.3
143381,4-2-1,276.1
143381,5-2-1,316.4
143381,6-2-1,173.7
143381,1-3-4,33.8
143381,2-3-4,174.1
143381,3-2-4,158.5
143381,4-2-3,433
143381,5-2-3,355.1
143381,6-2-3,240.9
143381,1-3-5,22.8
143381,2-3-5,144.4
143381,3-2-5,134.3
143381,4-2-5,320.9
143381,5-2-4,514.7
143381,6-2-4,303.7
143381,1-3-6,15.3
143381,2-3-6,104.5
143381,3-2-6,114.3
143381,4-2-6,403.5
143381,5-2-6,362.7
143381,6-2-5,206
143381,1-4-2,61.1
143381,2-4-1,187.3
143381,3-4-1,189.4
143381,4-3-1,354.2
143381,5-3-1,383.1
143381,6-3-1,243.1
143381,1-4-3,74.4
143381,2-4-3,291.4
143381,3-4-2,231.9
143381,4-3-2,487.1
143381,5-3-2,439.9
143381,6-3-2,258.8
143381,1-4-5,83.2
143381,2-4-5,290.8
143381,3-4-5,169
143381,4-3-5,397.6
143381,5-3-4,556.7
143381,6-3-4,340.1
143381,1-4-6,82.2
143381,2-4-6,241.4
143381,3-4-6,184.3
143381,4-3-6,438.5
143381,5-3-6,522.5
143381,6-3-5,269.5
143381,1-5-2,57.1
143381,2-5-1,196.5
143381,3-5-1,187.8
143381,4-5-1,158.5
143381,5-4-1,303.7
143381,6-4-1,213.7
143381,1-5-3,59.6
143381,2-5-3,240.5
143381,3-5-2,160.4
143381,4-5-2,221.4
143381,5-4-2,364.6
143381,6-4-2,395.3
143381,1-5-4,82.1
143381,2-5-4,369.6
143381,3-5-4,258.3
143381,4-5-3,244.8
143381,5-4-3,391.9
143381,6-4-3,368.6
143381,1-5-6,53
143381,2-5-6,245.3
143381,3-5-6,187
143381,4-5-6,223.9
143381,5-4-6,328.6
143381,6-4-5,168.5
143381,1-6-2,24.5
143381,2-6-1,77.3
143381,3-6-1,128.7
143381,4-6-1,246.2
143381,5-6-1,309.9
143381,6-5-1,176.4
143381,1-6-3,30.4
143381,2-6-3,134.3
143381,3-6-2,149.3
143381,4-6-2,456.1
143381,5-6-2,439.9
143381,6-5-2,257.8
143381,1-6-4,56.4
143381,2-6-4,224.3
143381,3-6-4,200.2
143381,4-6-3,547.7
143381,5-6-3,415.8
143381,6-5-3,378.8
143381,1-6-5,36.2
143381,2-6-5,173.9
143381,3-6-5,165.3
143381,4-6-5,223.2
143381,5-6-4,510.8
143381,6-5-4,232.7
143382,1-2-3,32.9
143382,2-1-3,91.8
143382,3-1-2,40.9
143382,4-1-2,321.8
143382,5-1-2,326.7
143382,6-1-2,484.2
143382,1-2-4,93.9
143382,2-1-4,160.3
143382,3-1-4,30.8
