race_id,combo,odds
144281,1-2-3,12.7
144281,2-1-3,97.2
144281,3-1-2,75.1
144281,4-1-2,180.9
144281,5-1-2,145.6
144281,6-1-2,342.7
144281,1-2-4,17.4
144281,2-1-4,150.5
144281,3-1-4,51.4
144281,4-1-3,155
144281,5-1-3,118.6
144281,6-1-3,370.5
144281,1-2-5,13.3
144281,2-1-5,118.3
144281,3-1-5,52.9
144281,4-1-5,145.1
144281,5-1-4,142.6
144281,6-1-4,422.5
144281,1-2-6,25.8
144281,2-1-6,156.9
144281,3-1-6,75.8
144281,4-1-6,186.4
144281,5-1-6,92.2
144281,6-1-5,252.7
144281,1-3-2,11
144281,2-3-1,226.3
144281,3-2-1,185.6
144281,4-2-1,461.9
144281,5-2-1,344.8
144281,6-2-1,738.3
144281,1-3-4,11.4
144281,2-3-4,548.5
144281,3-2-4,389.8
144281,4-2-3,1228
144281,5-2-3,850
144281,6-2-3,1522
144281,1-3-5,9.8
144281,2-3-5,565.5
144281,3-2-5,430.6
144281,4-2-5,833
144281,5-2-4,958.6
144281,6-2-4,1923
144281,1-3-6,16.4
144281,2-3-6,688
144281,3-2-6,488.9
144281,4-2-6,1075
144281,5-2-6,660
144281,6-2-5,1651
144281,1-4-2,27.2
144281,2-4-1,445.7
144281,3-4-1,147.2
144281,4-3-1,264.3
144281,5-3-1,232.4
144281,6-3-1,749.7
144281,1-4-3,22.4
144281,2-4-3,609.1
144281,3-4-2,464.1
144281,4-3-2,875.4
144281,5-3-2,878
144281,6-3-2,1862
144281,1-4-5,22.8
144281,2-4-5,709.7
144281,3-4-5,341.1
144281,4-3-5,589.5
144281,5-3-4,968.2
144281,6-3-4,1761
144281,1-4-6,32.2
144281,2-4-6,854.9
144281,3-4-6,388.8
144281,4-3-6,618.1
144281,5-3-6,517.5
144281,6-3-5,1299
144281,1-5-2,22.1
144281,2-5-1,395.1
144281,3-5-1,154.4
144281,4-5-1,194.6
144281,5-4-1,272.5
144281,6-4-1,732.8
144281,1-5-3,19.9
144281,2-5-3,862.5
144281,3-5-2,510.2
144281,4-5-2,615.5
144281,5-4-2,891.4
144281,6-4-2,1507
144281,1-5-4,27.5
144281,2-5-4,865
144281,3-5-4,450.5
144281,4-5-3,798.9
144281,5-4-3,974.6
144281,6-4-3,2284
144281,1-5-6,19.1
144281,2-5-6,769.4
144281,3-5-6,282.7
144281,4-5-6,278.7
144281,5-4-6,363.6
144281,6-4-5,1099
144281,1-6-2,55
144281,2-6-1,558
144281,3-6-1,293.5
