race_id,combo,amount
149693,3-1-5,2560
149694,1-4-2,2130
149695,3-1-2,3370
149696,4-6-2,26870
149697,1-2-3,710
149698,6-1-5,2400
149699,2-1-4,1260
149700,3-2-5,1380
149701,1-4-6,2530
149729,4-1-3,10110
149730,3-2-5,16300
149731,1-2-3,1800
149732,1-2-5,730
149733,3-6-4,34100
149734,1-3-2,1180
149735,1-4-5,3570
149736,1-3-4,800
149737,4-1-6,14030
149738,1-2-6,3620
149739,1-2-4,1020
149740,1-5-3,7540
149705,1-2-4,590
149706,1-5-4,7900
149707,1-3-2,2040
149708,4-2-3,3930
149709,1-2-5,5430
149710,3-2-4,3220
149711,1-2-5,1910
149712,1-2-3,720
149713,4-5-2,1240
149714,3-2-4,10190
149715,5-2-1,109470
149716,1-3-2,540
149741,1-4-2,1350
149742,1-2-5,1560
149743,3-5-1,22380
149744,3-4-5,2730
149745,3-1-2,10730
149746,4-3-6,3030
149747,1-6-2,2190
149748,6-1-3,38100
149749,2-5-6,88560
149750,1-4-3,1780
149751,5-4-6,38660
149752,1-2-3,670
149657,1-3-6,4390
149658,1-5-4,2390
149659,6-5-2,19250
149660,1-3-4,2000
149661,1-3-4,1000
149662,1-3-4,1090
149663,4-2-1,9160
149664,1-4-5,1870
149665,2-1-6,4160
149666,1-3-6,1780
149667,1-2-3,920
149668,3-1-4,3620
149753,1-3-2,720
149754,1-4-2,1150
149755,2-3-4,780
149756,2-1-4,1150
149757,1-5-6,3710
149758,1-3-2,3600
149759,1-3-2,770
149760,2-3-1,1590
149761,3-2-6,740
149762,1-2-5,620
149763,1-4-2,1790
149764,1-3-2,680
149717,1-2-4,1220
149718,1-3-5,3270
149719,1-4-3,2190
149720,1-4-6,1510
149721,1-3-6,1440
149722,1-2-3,1230
149723,1-2-3,480
149724,1-3-2,1870
149725,1-6-2,1210
149726,1-2-5,1010
149727,1-3-6,2320
149728,3-1-2,2790
149765,1-3-4,810
149766,1-2-5,840
149767,5-3-1,4310
149768,1-2-5,470
149769,1-5-3,910
149770,2-1-5,3030
149771,2-6-5,17650
149772,1-2-5,6290
149773,1-4-2,8270
149774,2-3-6,3300
149775,4-5-6,2700
149776,1-3-5,1920
149621,6-2-4,14560
149622,1-3-4,1250
149623,3-1-6,2210
149624,3-1-4,1510
149625,2-1-3,2160
149626,3-1-6,2820
149627,1-2-3,280
149628,1-6-3,13860
149629,3-1-2,3230
149630,1-3-6,1290
149631,5-1-2,2260
149632,2-1-5,3280
149681,1-4-3,2450
149682,1-2-3,490
149683,6-4-3,4860
149684,4-2-1,2560
149669,2-3-4,13310
149670,4-3-2,9950
149671,2-6-5,15790
149672,2-6-3,102510
149673,3-1-4,740
149674,5-2-1,12170
149675,2-1-5,840
149676,1-2-5,11810
149677,2-4-5,14280
149678,1-3-5,1400
149679,1-3-4,1170
149680,3-1-4,1600
