race_id,combo,amount
143813,2-1-3,12550
143814,1-2-6,6160
143815,2-1-5,12210
143816,1-4-3,820
143817,1-6-4,3140
143818,2-5-4,4350
143819,1-2-4,2430
143820,1-3-4,1670
143821,1-3-4,1050
143822,1-3-6,5850
143823,1-4-3,2450
143824,1-3-4,1170
143825,1-3-4,790
143826,4-3-5,5780
143827,4-5-1,2430
143828,1-5-4,18690
143829,1-5-3,8500
143830,5-6-4,6040
143831,5-1-6,56920
143832,1-3-6,8080
143833,2-1-4,730
143834,1-2-4,2110
143835,1-3-2,1300
143836,1-2-3,680
143837,3-4-6,42210
143838,4-3-1,20980
143839,4-5-2,3340
143840,3-2-5,5300
143841,3-1-6,1820
143842,1-6-4,3430
143843,1-2-5,1070
143844,1-2-4,2340
143845,4-1-3,14100
143846,1-5-3,3910
143847,1-4-3,2890
143848,1-3-2,1360
143765,1-2-6,6200
143766,6-1-4,1420
143767,1-4-2,6680
143768,2-4-6,1750
143769,2-3-1,12210
143770,1-3-5,670
143771,1-3-6,810
143772,1-3-2,360
143773,6-1-5,8240
143774,2-1-4,6040
143775,3-1-2,4860
143776,1-4-3,2260
143897,4-1-2,3220
143898,5-2-4,58830
143899,1-3-6,1970
143900,1-2-3,700
143901,5-6-4,14100
143902,1-6-5,4920
143903,1-3-4,590
143904,1-4-2,990
143905,3-2-4,10980
143906,1-3-4,1450
143907,1-3-4,990
143908,1-3-5,1000
143849,1-3-4,690
143850,1-4-5,1570
143851,3-2-4,13940
143852,5-4-6,22760
143853,3-2-6,24320
143854,1-2-3,3600
143855,1-5-2,1500
143856,1-3-2,630
143857,4-3-2,9060
143858,1-2-3,600
143859,1-6-4,4790
143860,1-3-2,520
143789,1-2-5,760
143790,1-2-3,700
143791,5-6-1,1240
143792,1-2-5,710
143793,4-1-3,13560
143794,5-4-2,13600
143795,2-1-3,4460
143796,2-1-5,6750
143797,2-3-4,3790
143798,1-2-4,670
143799,1-4-2,1280
143800,1-2-4,730
143861,1-2-4,1010
143862,2-4-1,15950
143863,1-3-6,4040
143864,5-1-6,21320
143865,1-4-5,4400
143866,1-4-2,2570
143867,2-1-5,5990
143868,1-2-6,2520
143869,1-2-5,1060
143870,1-2-3,810
143871,1-2-3,770
143872,1-3-4,1140
143753,5-2-1,13470
143754,2-3-5,1010
143755,4-5-6,2380
143756,2-3-5,2380
143757,4-6-1,2680
143758,6-4-1,12160
143759,1-6-2,3530
143760,1-2-4,7440
143761,1-4-2,2430
143762,1-2-5,890
143763,1-2-3,1310
143764,5-1-2,2660
143801,1-2-3,660
143802,1-2-5,2510
143803,2-3-6,1300
143805,1-3-4,970
143806,3-2-6,6230
143807,3-1-6,2940
143808,2-1-3,3260
143809,1-3-5,2760
143810,1-6-4,5280
143811,5-6-3,151470
143812,1-4-2,1940
143777,1-2-3,820
143778,3-1-6,3180
143779,3-1-4,2950
143780,1-3-5,1560
143781,1-4-5,1210
143782,3-1-4,1540
143783,1-6-3,27130
143784,4-5-3,8680
143785,3-1-4,1140
143786,1-2-6,1090
143787,1-2-4,2170
143788,1-2-3,1240
143885,1-3-4,830
143886,1-2-4,2240
143887,3-1-4,2270
143888,1-3-2,980
143889,1-5-2,3090
143890,2-3-1,6550
143891,1-6-4,4260
143892,1-3-4,830
143893,1-3-6,1490
143894,1-3-2,2560
143895,6-2-1,9080
143896,1-3-4,1590
143873,2-1-6,1650
143874,1-2-3,2780
143875,5-2-3,4840
143876,6-3-5,9990
143877,1-4-2,990
143878,1-3-2,1350
143879,1-3-5,490
143880,1-3-2,680
143881,1-2-4,620
143882,1-2-4,4400
143883,2-3-5,10450
143884,1-2-4,1350
