race_id,combo,amount
151495,3-1-2,8940
151496,1-3-5,6270
151497,1-3-4,1020
151498,1-6-5,4200
151499,1-2-4,1590
151500,6-2-4,27110
151501,3-1-4,4270
151502,1-2-3,840
151503,3-4-1,4410
151504,1-2-3,520
151505,2-3-1,18400
151506,1-3-2,1370
151543,2-1-4,15360
151544,3-2-5,9840
151545,1-2-6,1660
151546,3-5-6,57310
151547,4-5-1,1030
151548,3-1-5,4270
151549,1-5-6,2290
151550,1-3-5,960
151551,6-1-3,3270
151552,1-3-6,5130
151553,4-1-5,9390
151554,1-2-3,830
151459,4-6-5,4420
151460,1-6-4,11360
151461,2-5-3,19340
151462,1-4-6,1650
151463,3-1-5,1590
151464,1-5-6,25600
151465,1-4-3,1290
151466,1-2-5,1550
151467,3-6-4,5320
151468,5-1-2,3880
151469,1-2-4,2500
151470,1-5-6,4060
151519,3-4-6,3810
151520,4-3-5,4060
151521,2-1-3,5450
151522,3-2-5,1830
151523,5-1-4,16900
151524,1-4-3,1250
151525,1-4-3,2050
151526,1-2-5,6560
151527,1-5-2,1030
151528,1-4-6,9410
151529,1-6-3,990
151530,1-5-3,1810
151471,1-2-3,1760
151472,1-6-3,1570
151473,3-1-2,5770
151474,4-6-1,4940
151475,3-4-1,10530
151476,1-6-2,1080
151477,5-2-4,4340
151478,1-4-2,1420
151479,2-1-4,1070
151480,5-6-1,15640
151481,1-4-5,4830
151482,1-4-3,4350
151531,1-3-6,650
151532,1-2-3,650
151533,1-4-5,5300
151534,1-2-6,580
151535,3-4-2,48180
151536,2-1-3,3980
151537,1-4-5,1230
151538,1-4-3,1280
151539,5-4-1,21070
151540,1-3-2,600
151541,1-2-3,510
151542,1-6-2,2120
151447,1-5-4,5060
151448,3-2-4,2920
151449,1-5-6,1510
151450,1-4-3,2790
151451,1-6-3,8010
151452,1-5-2,920
151453,1-5-6,790
151454,2-1-4,2270
151455,1-5-3,5710
151456,2-3-4,27180
151457,3-4-6,22870
151458,1-2-5,1200
151483,1-3-2,560
151484,1-2-4,1320
151485,4-1-2,6070
151486,3-6-4,4550
151487,2-1-4,2940
151488,1-6-4,12250
151489,3-5-2,4740
151490,2-6-1,770
151491,1-6-2,2430
151492,1-2-3,950
151493,1-3-2,510
151494,1-3-5,950
151507,1-2-3,2730
151508,1-4-2,2100
151509,1-3-4,3460
151510,3-6-1,10970
151511,1-2-5,540
151512,2-1-5,1830
151513,1-3-4,830
151514,2-1-3,610
151515,2-3-4,3360
151516,1-5-3,1120
151517,1-2-4,440
151518,1-2-4,640
151579,1-2-4,510
151580,2-4-1,4430
151581,1-3-6,2660
151582,1-2-3,910
151583,3-2-1,6280
151584,1-3-2,1490
151585,2-3-4,4010
151586,2-3-5,35340
151587,1-2-3,770
151588,1-3-4,840
151589,1-2-3,290
151590,2-1-4,1940
151567,5-1-3,68930
151568,1-2-4,2880
151569,1-4-3,3940
151570,1-3-4,680
151571,4-1-6,3870
151572,2-6-4,2400
151573,5-3-2,25080
151574,2-4-6,8850
151575,4-1-5,20590
151576,4-5-2,8990
151577,1-3-2,900
151578,4-5-2,17080
151555,1-2-3,2800
151556,1-2-5,940
151557,4-1-3,7590
151558,2-4-5,11670
151559,3-5-2,95720
151560,1-4-6,1590
151561,3-4-2,28640
151562,3-1-6,7120
151563,1-3-4,1330
151564,1-3-6,2990
151565,1-4-3,1140
151566,5-2-6,4200
