race_id,combo,amount
148205,1-2-4,1650
148206,1-3-6,1030
148207,3-6-5,5720
148208,2-1-4,2200
148209,1-3-5,1420
148210,2-1-4,6500
148211,3-4-6,25350
148212,1-2-4,460
148213,5-2-1,7010
148214,5-1-4,17250
148215,1-4-2,950
148216,1-4-6,4780
148169,1-3-4,1050
148170,3-2-1,4330
148171,2-1-3,6250
148172,4-2-5,3860
148173,4-6-2,20450
148174,5-1-6,3750
148175,3-1-2,2550
148176,2-6-1,9330
148177,3-2-5,22180
148178,1-3-4,1560
148179,3-1-5,8410
148180,1-3-2,870
148217,1-3-2,890
148218,1-4-5,980
148219,6-3-4,10030
148220,1-2-4,2180
148221,1-3-4,620
148222,6-5-1,29150
148223,1-2-3,730
148224,1-5-3,700
148225,1-3-4,1110
148226,5-3-1,23300
148227,2-1-3,3210
148228,1-2-5,1800
148253,1-3-2,460
148254,1-3-5,2000
148255,1-5-6,3620
148256,2-5-1,66230
148257,2-3-1,6470
148258,1-4-3,10870
148259,4-1-2,3640
148260,3-1-4,3970
148261,4-1-3,4490
148262,1-2-4,720
148263,1-3-5,3960
148264,1-3-2,1500
148133,2-1-4,3800
148134,4-3-1,21370
148135,2-3-4,11720
148136,5-2-6,38200
148137,1-3-2,1330
148138,3-4-1,4510
148139,4-1-3,16950
148140,1-5-6,5260
148141,1-3-5,1990
148142,1-3-5,1220
148143,1-4-6,2500
148144,1-2-6,2300
148265,1-4-6,560
148266,3-2-5,2090
148267,3-1-4,4760
148268,2-3-6,1680
148269,2-1-3,15910
148270,1-4-6,980
148271,1-2-3,490
148272,1-2-5,3090
148273,2-6-5,10600
148274,3-1-2,4730
148275,3-4-6,25580
148276,1-2-6,2010
148229,1-4-3,2770
148230,4-5-2,1200
148231,3-1-4,1290
148232,1-2-4,970
148233,1-5-2,4710
148234,2-6-1,1200
148235,1-5-2,610
148236,5-1-6,7940
148237,3-1-4,1140
148238,1-3-4,830
148239,2-1-4,7400
148240,1-2-6,3690
148181,5-1-3,11300
148182,1-3-5,2450
148183,1-6-4,4610
148184,1-2-3,2020
148185,4-5-1,1340
148186,1-4-2,360
148187,3-1-6,910
148188,2-5-3,47250
148189,4-1-2,23230
148190,4-6-5,5340
148191,1-2-3,370
148192,1-3-2,710
148121,3-5-4,4770
148122,1-6-3,1550
148123,3-5-1,4980
148124,5-4-2,184620
148125,1-5-2,1160
148126,1-6-2,3560
148127,2-5-1,2020
148128,1-4-3,2790
148129,1-3-6,1630
148130,1-2-3,700
148131,1-5-3,5890
148132,1-5-3,4210
148097,3-1-4,1940
148098,1-2-3,1700
148099,2-3-1,2330
148100,1-2-4,1620
148101,4-1-5,1360
148102,3-4-6,1250
148103,1-2-5,2240
148104,2-5-3,2350
148105,2-6-3,4310
148106,6-3-4,42850
148107,1-5-3,3610
148108,3-5-2,10560
148109,3-4-5,3480
148110,2-1-5,2540
148111,1-4-3,1780
148112,1-5-3,1440
148113,4-3-1,6110
148114,4-2-1,2760
148115,1-6-4,2560
148116,1-4-2,1400
148117,1-4-2,450
148118,4-6-1,1460
148119,6-5-1,35940
148120,1-3-2,900
148157,1-3-5,970
148158,1-3-5,2770
148159,1-3-5,490
148160,1-5-4,9140
148161,4-1-5,1990
148162,5-1-3,7340
148163,1-2-4,1200
148164,1-4-3,700
148165,4-2-1,9870
148166,1-2-4,980
148167,4-6-2,10120
148168,1-2-4,580
148241,3-5-1,13210
148242,1-5-6,8820
148243,5-1-2,10640
148244,3-1-2,5920
148245,1-3-5,1290
148246,1-3-4,2370
148247,1-3-4,490
148248,1-3-2,1580
148249,3-2-1,4150
148250,1-2-3,510
148251,2-5-4,56880
148252,1-3-2,1240
148145,1-3-4,1460
148146,1-6-3,3940
148147,5-4-2,14760
148148,3-4-6,1660
148149,3-1-5,1330
148150,1-5-3,900
148151,1-2-5,4220
148152,1-2-3,750
148153,3-1-5,4460
148154,1-2-4,780
148155,4-3-1,4820
148156,1-5-2,1910
148193,1-2-3,470
148194,3-4-2,2460
148195,1-4-3,1030
148196,3-1-2,1490
148197,1-3-2,1400
148198,4-2-5,1680
148199,1-4-3,1610
148200,3-2-6,19420
148201,5-4-1,14500
148202,1-4-2,1950
148203,4-5-1,12530
148204,3-1-5,2480
