race_id,combo,amount
151039,1-2-3,510
151040,1-3-2,680
151041,2-4-3,26460
151042,1-4-3,920
151043,6-4-2,8750
151044,1-4-6,1300
151045,3-4-1,7300
151046,1-2-5,420
151047,1-5-3,3110
151048,1-3-4,950
151049,2-5-3,45840
151050,2-3-4,64820
151087,1-2-4,1230
151088,1-6-4,6700
151089,1-3-5,23780
151090,1-2-3,2560
151091,2-3-1,36990
151092,5-3-1,2290
151093,1-4-2,1480
151094,1-2-3,730
151095,1-5-3,2120
151096,1-2-5,1110
151097,3-1-2,1660
151098,1-4-2,1070
151063,3-6-5,3190
151064,1-5-2,2220
151065,2-6-4,3260
151066,1-4-6,2560
151067,4-1-3,4470
151068,1-2-4,680
151069,1-6-2,7680
151070,1-2-4,570
151071,1-2-4,790
151072,1-4-3,3770
151073,1-6-3,2870
151074,1-5-2,2620
151015,5-1-2,9240
151016,3-2-6,3620
151017,1-2-5,570
151018,2-6-5,2090
151019,5-1-3,39080
151020,1-3-4,970
151021,2-1-6,3670
151022,1-3-6,620
151023,1-4-2,1180
151024,1-2-5,3100
151025,1-5-3,3890
151026,5-1-4,3880
151075,1-2-6,2490
151076,1-2-3,620
151077,1-3-2,910
151078,1-4-2,720
151079,1-4-3,2540
151080,2-1-4,8600
151081,4-2-3,29680
151082,5-1-3,2040
151083,1-3-4,370
151084,4-5-1,5430
151085,4-1-2,6720
151086,1-5-3,10300
150991,4-3-2,1360
150992,1-4-6,5620
150993,6-1-5,22300
150994,2-4-5,2920
150995,3-4-1,9660
150996,2-1-4,6000
150997,1-5-4,1820
150998,1-4-3,3550
150999,4-5-3,5480
151000,1-4-5,4990
151001,1-3-4,670
151002,1-2-3,1180
150979,4-6-3,78180
150980,3-5-1,2470
150981,1-2-3,850
150982,1-3-4,5210
150983,6-2-1,256790
150984,1-4-5,2880
150985,6-1-2,6580
150987,1-2-3,650
150988,1-4-6,7130
150989,1-2-3,490
150990,1-2-4,860
151027,1-2-4,540
151028,2-3-4,620
151029,3-1-5,3220
151030,1-2-5,1000
151031,1-2-3,480
151032,5-3-4,8400
151033,3-4-1,11980
151034,6-2-5,41550
151035,1-5-2,7340
151036,1-3-4,4330
151037,3-1-6,2040
151038,1-4-3,1220
151003,1-2-4,1420
151004,1-4-2,2520
151005,2-1-4,3670
151006,1-3-4,820
151007,1-2-6,5530
151008,5-3-1,31590
151009,1-2-6,2390
151010,4-6-1,3400
151011,1-5-6,3920
151012,4-1-2,5660
151013,1-2-6,2620
151014,1-5-2,1160
151051,5-2-6,18250
151052,1-4-2,18630
151053,1-5-2,3490
151054,2-1-3,1830
151055,1-5-2,1760
151056,2-5-1,5950
151057,4-5-1,12530
151058,2-1-6,1570
151059,2-1-3,1750
151060,1-4-6,1920
151061,1-2-4,1050
151062,1-5-6,2100
151123,1-3-5,2550
151124,5-4-1,17770
151125,1-4-3,2250
151126,5-1-2,9090
151127,6-3-1,5410
151128,2-1-4,3130
151129,1-3-2,1060
151130,1-3-2,2470
151131,1-2-3,880
151132,1-2-6,3110
151133,1-4-6,3280
151134,1-2-5,1630
151111,1-3-4,780
151112,4-1-5,1730
151113,1-2-3,7860
151114,1-2-3,430
151115,1-5-3,5140
151116,2-4-6,6980
151117,1-2-4,710
151118,2-4-1,850
151119,6-5-1,30210
151120,2-3-6,7570
151121,1-4-2,1210
151122,1-2-4,670
151099,1-6-4,10530
151100,1-4-5,7090
151101,1-2-5,1460
151102,3-1-4,2650
151103,3-4-6,28980
151104,2-1-4,2430
151105,5-4-1,4980
151106,1-6-5,3410
151107,4-1-2,8290
151108,3-1-2,6430
151109,1-2-4,1620
151110,1-5-2,2990
