race_id,combo,odds
145841,1-2-3,17.6
145841,2-1-3,40.4
145841,3-1-2,27.7
145841,4-1-2,142.6
145841,5-1-2,220
145841,6-1-2,867.7
145841,1-2-4,27.6
145841,2-1-4,59.5
145841,3-1-4,14.2
145841,4-1-3,67.4
145841,5-1-3,133.7
145841,6-1-3,689.4
145841,1-2-5,63
145841,2-1-5,84.9
145841,3-1-5,23.1
145841,4-1-5,111.2
145841,5-1-4,212.4
145841,6-1-4,886.3
145841,1-2-6,160.1
145841,2-1-6,269.1
145841,3-1-6,93
145841,4-1-6,261.2
145841,5-1-6,354.5
145841,6-1-5,1034
145841,1-3-2,14
145841,2-3-1,52.6
145841,3-2-1,37.2
145841,4-2-1,201.4
145841,5-2-1,488.5
145841,6-2-1,899.2
145841,1-3-4,10.8
145841,2-3-4,64.9
145841,3-2-4,36.6
145841,4-2-3,134.8
145841,5-2-3,306.4
145841,6-2-3,961.9
145841,1-3-5,18.9
145841,2-3-5,91.2
145841,3-2-5,42.7
145841,4-2-5,230.6
145841,5-2-4,556.4
145841,6-2-4,1228
145841,1-3-6,82.5
145841,2-3-6,274.5
145841,3-2-6,151.3
145841,4-2-6,590.9
145841,5-2-6,756.6
145841,6-2-5,1088
145841,1-4-2,40.9
145841,2-4-1,108
145841,3-4-1,20.5
145841,4-3-1,69.2
145841,5-3-1,144.4
145841,6-3-1,743
145841,1-4-3,26.9
145841,2-4-3,108.8
145841,3-4-2,30.8
145841,4-3-2,83.4
145841,5-3-2,169
145841,6-3-2,867.7
145841,1-4-5,69.4
145841,2-4-5,175.7
145841,3-4-5,18.4
145841,4-3-5,64.7
145841,5-3-4,137.1
145841,6-3-4,738.6
145841,1-4-6,177.7
145841,2-4-6,488.5
145841,3-4-6,73.3
145841,4-3-6,208.5
145841,5-3-6,289.2
145841,6-3-5,752
145841,1-5-2,100.5
145841,2-5-1,226
145841,3-5-1,42.2
145841,4-5-1,145.1
145841,5-4-1,302.6
145841,6-4-1,1034
145841,1-5-3,56.2
145841,2-5-3,192
145841,3-5-2,56.4
145841,4-5-2,239.5
145841,5-4-2,633.1
145841,6-4-2,1459
145841,1-5-4,112.4
145841,2-5-4,274.5
145841,3-5-4,34.1
145841,4-5-3,120.9
145841,5-4-3,256.9
145841,6-4-3,905.7
145841,1-5-6,347.5
145841,2-5-6,701
145841,3-5-6,107
145841,4-5-6,354.5
145841,5-4-6,649.6
145841,6-4-5,1159
145841,1-6-2,293.3
145841,2-6-1,816.3
145841,3-6-1,228.5
145841,4-6-1,544.2
145841,5-6-1,743
145841,6-5-1,1292
145841,1-6-3,256.3
145841,2-6-3,816.3
145841,3-6-2,301.9
145841,4-6-2,795.4
145841,5-6-2,855.8
145841,6-5-2,1442
145841,1-6-4,436.9
145841,2-6-4,1069
145841,3-6-4,210.3
145841,4-6-3,480.9
145841,5-6-3,642.9
145841,6-5-3,969.4
145841,1-6-5,649.6
145841,2-6-5,1513
145841,3-6-5,222.3
145841,4-6-5,689.4
145841,5-6-4,766
145841,6-5-4,1193
145842,1-2-3,34.3
145842,2-1-3,111.1
145842,3-1-2,223.8
145842,4-1-2,63.8
145842,5-1-2,2055
145842,6-1-2,12.9
145842,1-2-4,32.3
145842,2-1-4,111.1
145842,3-1-4,279.7
145842,4-1-3,119.2
145842,5-1-3,1739
145842,6-1-3,21.2
145842,1-2-5,247.3
145842,2-1-5,729.2
145842,3-1-5,729.2
145842,4-1-5,393.8
145842,5-1-4,1468
145842,6-1-4,18
145842,1-2-6,15.1
145842,2-1-6,60.1
145842,3-1-6,145.2
145842,4-1-6,27.8
145842,5-1-6,2018
145842,6-1-5,265.9
145842,1-3-2,49.1
145842,2-3-1,264.1
145842,3-2-1,247.8
145842,4-2-1,105.4
145842,5-2-1,3055
145842,6-2-1,32.4
145842,1-3-4,60.7
145842,2-3-4,433
145842,3-2-4,465.1
145842,4-2-3,292
145842,5-2-3,3767
145842,6-2-3,85.6
145842,1-3-5,340.4
145842,2-3-5,2055
145842,3-2-5,1915
