race_id,combo,amount
150583,1-4-6,9420
150584,5-3-1,42490
150585,1-2-4,2590
150586,1-3-6,3220
150587,1-3-6,320
150588,3-4-6,4940
150589,1-2-4,4080
150590,6-5-2,38580
150591,1-2-6,1000
150592,1-2-4,910
150593,1-2-3,690
150594,1-5-2,2170
150607,1-3-5,1110
150608,2-1-3,1880
150609,1-4-3,8270
150610,4-1-6,7920
150611,1-4-2,1530
150612,1-2-5,760
150613,3-4-1,9110
150614,1-2-6,4500
150615,1-2-5,1130
150616,1-5-2,3420
150617,1-3-2,1240
150618,1-3-2,600
150619,1-5-3,3200
150620,1-2-3,440
150621,1-2-5,730
150622,3-2-5,7770
150623,3-1-2,17650
150624,1-2-4,1630
150625,5-4-1,13580
150626,1-2-3,220
150627,2-6-1,5220
150628,5-3-2,63100
150629,4-5-3,16290
150630,1-3-2,970
150559,1-5-3,2830
150560,1-6-3,1320
150561,4-5-3,2810
150562,1-4-5,5400
150563,1-5-6,1870
150564,2-1-5,3120
150565,1-2-5,2410
150566,2-1-4,1310
150567,3-5-4,790
150568,1-5-4,760
150569,1-3-4,620
150570,1-4-2,970
150631,1-2-4,790
150632,3-1-2,4240
150633,1-6-4,1020
150634,1-2-4,890
150635,1-3-4,2060
150636,2-3-6,5660
150637,1-2-5,5020
150638,1-3-4,8070
150639,2-3-5,23240
150640,1-3-6,1000
150641,1-5-3,23630
150642,1-4-3,2020
150523,1-4-6,6240
150524,1-2-4,580
150525,3-1-2,3240
150526,2-6-4,7810
150527,1-2-5,5600
150528,2-5-3,7480
150529,1-4-5,3680
150530,5-1-2,2280
150531,5-4-3,7270
150532,4-5-1,11680
150533,1-6-2,5230
150534,1-5-3,2080
150511,1-5-2,1800
150512,2-6-3,14250
150513,2-3-5,1540
150514,2-1-4,5200
150515,2-1-5,1290
150516,3-5-1,5600
150517,1-3-4,1570
150518,1-5-4,1400
150519,1-3-2,4100
150520,1-2-5,900
150521,2-3-5,9490
150522,1-5-4,10960
150535,1-2-3,1490
150536,1-2-5,2760
150537,6-2-4,2670
150538,3-1-6,1340
150539,1-2-5,1360
150540,1-5-6,1620
150541,5-4-3,10700
150542,4-6-5,51540
150543,1-4-6,1630
150544,3-2-4,3100
150545,1-3-6,4900
150546,5-1-3,14230
150571,1-5-2,2140
150572,3-1-4,8490
150573,2-4-1,7010
150574,5-2-4,43400
150575,1-4-2,1190
150576,1-3-4,640
150577,4-3-5,2510
150578,5-1-6,2060
150579,1-2-5,2430
150580,1-4-2,440
150581,4-5-1,2080
150582,1-6-5,4080
150547,5-1-3,2200
150548,1-3-2,1190
150549,1-2-4,2300
150550,1-6-2,990
150551,5-4-1,10200
150552,2-1-6,2180
150553,1-6-2,1720
150554,3-2-4,34040
150555,5-3-4,56740
150556,1-3-2,1380
150557,2-5-3,113230
150558,1-2-3,450
150595,2-1-3,8310
150596,3-1-5,1990
150597,1-2-4,890
150598,2-3-5,21070
150599,1-2-5,2620
150600,5-3-4,4760
150601,5-3-6,4770
150602,2-1-3,1410
150603,1-3-2,1570
150604,1-5-4,920
150605,1-2-3,990
150606,1-2-4,2760
150655,1-2-3,340
150656,1-6-3,6740
150657,1-2-5,12600
150658,3-1-4,6330
150659,3-4-1,3030
150660,1-6-3,2740
150661,1-3-4,1920
150662,5-1-4,9670
150663,1-2-4,1540
150664,1-2-4,1290
150665,1-5-4,9450
150666,1-2-6,3280
150643,2-5-4,13340
150644,1-5-6,2770
150645,1-5-2,2320
150646,1-3-4,670
150647,1-3-4,1520
150648,1-4-2,1000
150649,4-5-1,3320
150650,1-3-6,1600
150651,5-3-2,106530
150652,1-2-3,780
150653,1-3-6,2290
150654,6-5-3,53540
