race_id,combo,amount
145841,3-1-5,2310
145842,1-4-6,1780
145843,1-3-5,3360
145844,1-3-4,8780
145845,1-3-2,1410
145846,1-5-6,1500
145847,3-2-1,3660
145848,3-2-1,3520
145849,1-4-3,4230
145850,1-4-3,2380
145851,1-3-5,1160
145852,1-2-4,2030
145793,1-3-4,1320
145794,1-2-3,2060
145795,1-3-2,2680
145796,1-3-4,1560
145797,1-4-6,1090
145798,1-6-3,1790
145799,3-5-1,32510
145800,1-2-5,4500
145801,1-2-3,700
145802,3-2-1,10100
145803,3-1-4,5290
145804,2-3-4,20350
145865,1-2-4,750
145866,1-4-2,2750
145867,3-1-5,2140
145868,1-2-3,450
145869,1-3-4,4770
145870,1-2-5,2040
145871,5-3-2,9560
145872,2-1-3,3870
145873,2-1-6,4290
145874,1-5-4,7800
145875,2-1-6,2750
145876,2-3-5,780
145733,1-4-2,1300
145734,2-1-6,25920
145735,1-3-2,1260
145736,1-3-4,1990
145737,1-3-2,1300
145738,2-1-5,5480
145739,2-4-6,62480
145740,1-2-3,2180
145741,1-5-2,2290
145742,1-2-4,950
145743,1-3-4,1740
145744,1-5-4,2490
145805,1-4-2,29690
145806,2-1-4,1410
145807,3-1-6,1860
145808,2-3-1,1410
145809,1-2-3,1320
145810,1-4-2,470
145811,2-1-3,870
145812,1-3-4,2780
145813,5-6-3,186430
145814,2-5-3,18740
145815,1-2-6,1090
145816,1-2-3,480
145757,1-3-5,990
145758,1-2-4,1330
145759,1-2-3,2190
145760,1-3-6,1110
145761,4-5-1,2660
145762,1-2-5,500
145763,4-6-2,11870
145764,1-6-4,8900
145765,4-2-6,4850
145766,1-4-3,5420
145767,1-2-4,820
145768,1-3-2,500
145721,3-5-1,2990
145722,3-2-5,2300
145723,2-1-4,3680
145724,1-5-4,1640
145725,1-2-3,3400
145726,5-3-4,20190
145727,4-3-6,1940
145728,1-2-6,1070
145729,3-4-1,3680
145730,1-5-4,2480
145731,2-1-4,940
145732,3-1-2,6070
145829,1-3-4,2040
145830,2-4-3,22990
145831,1-3-2,690
145832,1-2-6,2410
145833,1-3-2,1050
145834,1-2-5,1030
145835,4-2-6,15740
145836,1-4-2,2650
145837,3-1-4,4360
145838,5-1-2,29190
145839,6-5-4,254270
145840,1-6-5,4260
145769,1-2-3,360
145770,1-3-2,1170
145771,1-2-3,770
145772,1-3-4,2420
145773,1-3-2,1040
145774,1-3-4,1560
145775,1-5-6,1760
145776,5-4-1,27460
145777,5-1-6,25480
145778,5-1-3,9380
145779,1-2-3,490
145780,2-1-3,1970
145781,3-1-5,6820
145782,2-3-5,2400
145783,1-6-4,19710
145784,2-1-5,840
145785,2-1-4,1140
145786,1-2-5,470
145787,1-4-3,1460
145788,1-5-6,15850
145789,3-1-6,5270
145790,1-3-6,410
145791,3-1-4,5470
145792,1-3-2,600
145853,1-2-4,1140
145854,2-4-1,1750
145855,1-2-3,1720
145856,1-2-5,1910
145857,1-4-2,850
145858,1-2-5,830
145859,1-5-2,3510
145860,1-2-3,1850
145861,2-1-3,540
145862,2-1-4,1430
145863,1-5-2,830
145864,1-2-5,860
145745,6-2-4,23330
145746,2-3-4,1890
145747,3-5-1,600
145748,1-4-2,3070
145749,5-1-6,2630
145750,1-2-3,1460
145751,3-1-4,2030
145752,4-2-1,1480
145753,4-3-5,11030
145754,1-4-5,1730
145755,1-2-3,740
145756,1-3-4,910
145817,1-3-4,6660
145818,5-1-3,3360
145819,1-4-2,590
145820,1-4-2,1060
145821,3-5-1,15390
145822,1-4-3,1200
145823,5-1-3,2450
145824,1-2-6,1350
145825,3-4-5,6490
145826,1-2-5,1260
145827,2-1-3,1260
145828,1-5-4,4230
