race_id,combo,odds
149693,1-2-3,17.3
149693,2-1-3,108.3
149693,3-1-2,54
149693,4-1-2,96.8
149693,5-1-2,186.3
149693,6-1-2,2354
149693,1-2-4,19.2
149693,2-1-4,120.4
149693,3-1-4,20.2
149693,4-1-3,58.7
149693,5-1-3,101.7
149693,6-1-3,2915
149693,1-2-5,35.8
149693,2-1-5,164.5
149693,3-1-5,25.6
149693,4-1-5,36.6
149693,5-1-4,69.4
149693,6-1-4,3018
149693,1-2-6,278.6
149693,2-1-6,796.8
149693,3-1-6,285.1
149693,4-1-6,518.3
149693,5-1-6,489.6
149693,6-1-5,3207
149693,1-3-2,12.7
149693,2-3-1,189.2
149693,3-2-1,137.2
149693,4-2-1,238.2
149693,5-2-1,428.3
149693,6-2-1,4073
149693,1-3-4,6.2
149693,2-3-4,305.1
149693,3-2-4,178.6
149693,4-2-3,387.6
149693,5-2-3,568.9
149693,6-2-3,4073
149693,1-3-5,8.3
149693,2-3-5,370.2
149693,3-2-5,218.7
149693,4-2-5,371.8
149693,5-2-4,624.3
149693,6-2-4,4501
149693,1-3-6,152.8
149693,2-3-6,1372
149693,3-2-6,1161
149693,4-2-6,1527
149693,5-2-6,1379
149693,6-2-5,3947
149693,1-4-2,16.6
149693,2-4-1,242.5
149693,3-4-1,49.8
149693,4-3-1,95
149693,5-3-1,161.6
149693,6-3-1,3054
149693,1-4-3,10.1
149693,2-4-3,354.4
149693,3-4-2,136.1
149693,4-3-2,298
149693,5-3-2,454.1
149693,6-3-2,4665
149693,1-4-5,12
149693,2-4-5,456.5
149693,3-4-5,71.7
149693,4-3-5,143.1
149693,5-3-4,276.8
149693,6-3-4,3718
149693,1-4-6,206.1
149693,2-4-6,1336
149693,3-4-6,464
149693,4-3-6,844
149693,5-3-6,994.5
149693,6-3-5,4841
149693,1-5-2,41.2
149693,2-5-1,452.5
149693,3-5-1,64.8
149693,4-5-1,65.4
149693,5-4-1,109.7
149693,6-4-1,4665
149693,1-5-3,22.1
149693,2-5-3,666.4
149693,3-5-2,176.1
149693,4-5-2,288.6
149693,5-4-2,551.8
149693,6-4-2,4665
149693,1-5-4,20.5
149693,2-5-4,789.5
149693,3-5-4,97.7
149693,4-5-3,170.9
149693,5-4-3,301.8
149693,6-4-3,4582
149693,1-5-6,206.2
149693,2-5-6,1781
149693,3-5-6,536.8
149693,4-5-6,598.1
149693,5-4-6,946.8
149693,6-4-5,3467
149693,1-6-2,661.3
149693,2-6-1,2443
149693,3-6-1,1466
149693,4-6-1,1666
149693,5-6-1,1309
149693,6-5-1,3947
149693,1-6-3,697.2
149693,2-6-3,3054
149693,3-6-2,2020
149693,4-6-2,2120
149693,5-6-2,1745
149693,6-5-2,4009
149693,1-6-4,695.3
149693,2-6-4,2851
149693,3-6-4,1574
149693,4-6-3,2701
149693,5-6-3,1859
149693,6-5-3,4349
149693,1-6-5,737.3
149693,2-6-5,2789
149693,3-6-5,1564
149693,4-6-5,1500
149693,5-6-4,1500
149693,6-5-4,3018
149694,1-2-3,10.6
149694,2-1-3,10.7
149694,3-1-2,52
149694,4-1-2,44.7
149694,5-1-2,167.2
149694,6-1-2,959.9
149694,1-2-4,8
149694,2-1-4,7.3
149694,3-1-4,110.1
149694,4-1-3,166.3
149694,5-1-3,416
149694,6-1-3,2492
149694,1-2-5,14.4
149694,2-1-5,13
149694,3-1-5,175.7
149694,4-1-5,67.4
149694,5-1-4,237.7
149694,6-1-4,1919
149694,1-2-6,127.7
149694,2-1-6,94.2
149694,3-1-6,660.4
149694,4-1-6,320.3
149694,5-1-6,776.6
149694,6-1-5,2306
149694,1-3-2,29.6
149694,2-3-1,27.1
149694,3-2-1,50.1
149694,4-2-1,43.2
149694,5-2-1,182.3
149694,6-2-1,1023
149694,1-3-4,63.6
149694,2-3-4,38.7
149694,3-2-4,66.6
149694,4-2-3,102.2
149694,5-2-3,409.9
149694,6-2-3,2117
149694,1-3-5,83
149694,2-3-5,80.2
149694,3-2-5,153.3
149694,4-2-5,62.8
149694,5-2-4,213.3
149694,6-2-4,1530
149694,1-3-6,583.2
149694,2-3-6,376
149694,3-2-6,637.3
149694,4-2-6,305.4
149694,5-2-6,677.8
149694,6-2-5,1968
149694,1-4-2,21.3
