race_id,combo,odds
146321,1-2-3,27.7
146321,2-1-3,127.7
146321,3-1-2,181.3
146321,4-1-2,40.5
146321,5-1-2,130.6
146321,6-1-2,137
146321,1-2-4,10.9
146321,2-1-4,31.8
146321,3-1-4,151.4
146321,4-1-3,110.5
146321,5-1-3,225.7
146321,6-1-3,403.3
146321,1-2-5,31.6
146321,2-1-5,99.9
146321,3-1-5,190.4
146321,4-1-5,51.9
146321,5-1-4,126.7
146321,6-1-4,140.2
146321,1-2-6,20.1
146321,2-1-6,55
146321,3-1-6,193.5
146321,4-1-6,36.9
146321,5-1-6,109.3
146321,6-1-5,276.9
146321,1-3-2,46
146321,2-3-1,243.2
146321,3-2-1,254.4
146321,4-2-1,55.7
146321,5-2-1,221.2
146321,6-2-1,152.7
146321,1-3-4,46.3
146321,2-3-4,224.6
146321,3-2-4,188.7
146321,4-2-3,204.2
146321,5-2-3,564.7
146321,6-2-3,475.2
146321,1-3-5,74.3
146321,2-3-5,510.6
146321,3-2-5,470.6
146321,4-2-5,89.6
146321,5-2-4,221.8
146321,6-2-4,116.7
146321,1-3-6,80.4
146321,2-3-6,311.7
146321,3-2-6,209.9
146321,4-2-6,42.5
146321,5-2-6,186
146321,6-2-5,325.8
146321,1-4-2,13.3
146321,2-4-1,46.4
146321,3-4-1,199.4
146321,4-3-1,233.4
146321,5-3-1,340.4
146321,6-3-1,615.4
146321,1-4-3,43.7
146321,2-4-3,159.6
146321,3-4-2,202.5
146321,4-3-2,303.8
146321,5-3-2,618
146321,6-3-2,782.6
146321,1-4-5,32.2
146321,2-4-5,116.7
146321,3-4-5,228.9
146321,4-3-5,242
146321,5-3-4,401.1
146321,6-3-4,525.5
146321,1-4-6,16.5
146321,2-4-6,42.1
146321,3-4-6,157.5
146321,4-3-6,191.7
146321,5-3-6,437.7
146321,6-3-5,923.1
146321,1-5-2,61.7
146321,2-5-1,221.2
146321,3-5-1,274.8
146321,4-5-1,69.5
146321,5-4-1,128.8
146321,6-4-1,141.4
146321,1-5-3,102.6
146321,2-5-3,505.3
146321,3-5-2,480
146321,4-5-2,81.8
146321,5-4-2,140.7
146321,6-4-2,111.6
146321,1-5-4,63.1
146321,2-5-4,200
146321,3-5-4,272.2
146321,4-5-3,186.5
146321,5-4-3,292.1
146321,6-4-3,376.9
146321,1-5-6,60
146321,2-5-6,209
146321,3-5-6,301.9
146321,4-5-6,44.9
146321,5-4-6,90.9
146321,6-4-5,194.8
146321,1-6-2,41.1
146321,2-6-1,104.7
146321,3-6-1,356.4
146321,4-6-1,48.1
146321,5-6-1,143.2
