race_id,combo,odds
151039,1-2-3,5.1
151039,2-1-3,56.6
151039,3-1-2,135.4
151039,4-1-2,178.4
151039,5-1-2,27.2
151039,6-1-2,1958
151039,1-2-4,10.7
151039,2-1-4,89.9
151039,3-1-4,282.8
151039,4-1-3,440
151039,5-1-3,74.4
151039,6-1-3,3876
151039,1-2-5,4.9
151039,2-1-5,49.6
151039,3-1-5,147.6
151039,4-1-5,138.9
151039,5-1-4,88.8
151039,6-1-4,3087
151039,1-2-6,134.8
151039,2-1-6,534.2
151039,3-1-6,1434
151039,4-1-6,828.1
151039,5-1-6,232.6
151039,6-1-5,2047
151039,1-3-2,11.6
151039,2-3-1,252.3
151039,3-2-1,344.3
151039,4-2-1,355.1
151039,5-2-1,83.1
151039,6-2-1,4048
151039,1-3-4,27.2
151039,2-3-4,643.7
151039,3-2-4,1065
151039,4-2-3,1110
151039,5-2-3,267.1
151039,6-2-3,3437
151039,1-3-5,13.9
151039,2-3-5,492.3
151039,3-2-5,687.4
151039,4-2-5,534.2
151039,5-2-4,304.1
151039,6-2-4,4671
151039,1-3-6,223.5
151039,2-3-6,2602
151039,3-2-6,2530
151039,4-2-6,2429
151039,5-2-6,759.1
151039,6-2-5,4443
151039,1-4-2,20.6
151039,2-4-1,329.4
151039,3-4-1,785.2
151039,4-3-1,1078
151039,5-3-1,237.8
151039,6-3-1,4554
151039,1-4-3,42.1
151039,2-4-3,816.9
151039,3-4-2,1401
151039,4-3-2,1671
151039,5-3-2,390.1
151039,6-3-2,4554
151039,1-4-5,23.4
151039,2-4-5,641.5
151039,3-4-5,1247
151039,4-3-5,1518
151039,5-3-4,897.4
151039,6-3-4,3036
151039,1-4-6,219.2
151039,2-4-6,2602
151039,3-4-6,3503
151039,4-3-6,3196
151039,5-3-6,1457
151039,6-3-5,4923
151039,1-5-2,8.2
151039,2-5-1,163.2
151039,3-5-1,330.6
151039,4-5-1,189.9
151039,5-4-1,212.5
151039,6-4-1,4443
151039,1-5-3,15.1
151039,2-5-3,415.9
151039,3-5-2,722.9
151039,4-5-2,349
151039,5-4-2,365.8
151039,6-4-2,4554
151039,1-5-4,22.8
151039,2-5-4,564
151039,3-5-4,1053
151039,4-5-3,576.5
151039,5-4-3,816.9
151039,6-4-3,3643
151039,1-5-6,79
151039,2-5-6,1518
151039,3-5-6,2277
151039,4-5-6,565.7
151039,5-4-6,893
151039,6-4-5,1329
151039,1-6-2,341.8
151039,2-6-1,2846
151039,3-6-1,3253
151039,4-6-1,3572
151039,5-6-1,720.1
151039,6-5-1,2168
151039,1-6-3,467.1
151039,2-6-3,3572
151039,3-6-2,4337
151039,4-6-2,3795
151039,5-6-2,714.4
151039,6-5-2,3373
151039,1-6-4,471.9
151039,2-6-4,3960
151039,3-6-4,3795
151039,4-6-3,3087
151039,5-6-3,1584
151039,6-5-3,4554
151039,1-6-5,307.7
151039,2-6-5,2986
151039,3-6-5,3960
151039,4-6-5,1641
151039,5-6-4,1530
151039,6-5-4,1917
151040,1-2-3,4.3
151040,2-1-3,20.4
151040,3-1-2,39
151040,4-1-2,2146
151040,5-1-2,197.6
151040,6-1-2,194.5
151040,1-2-4,53
151040,2-1-4,205.2
151040,3-1-4,277.1
151040,4-1-3,2312
151040,5-1-3,246
151040,6-1-3,296.1
151040,1-2-5,8.6
151040,2-1-5,47.9
151040,3-1-5,59.8
151040,4-1-5,2338
151040,5-1-4,1239
151040,6-1-4,1826
151040,1-2-6,8.2
151040,2-1-6,27.4
151040,3-1-6,63.2
151040,4-1-6,2478
151040,5-1-6,242
151040,6-1-5,486.3
151040,1-3-2,6.8
151040,2-3-1,67.7
151040,3-2-1,67.7
151040,4-2-1,2775
151040,5-2-1,391.2
151040,6-2-1,267.9
151040,1-3-4,76.3
151040,2-3-4,584.7
151040,3-2-4,418
151040,4-2-3,4003
151040,5-2-3,550.7
151040,6-2-3,506.4
151040,1-3-5,11.7
151040,2-3-5,180.2
151040,3-2-5,100.7
151040,4-2-5,4248
151040,5-2-4,1416
151040,6-2-4,2191
151040,1-3-6,14
151040,2-3-6,129.6
151040,3-2-6,85.7
151040,4-2-6,4625
151040,5-2-6,432.7
151040,6-2-5,759.7
151040,1-4-2,262.1
151040,2-4-1,1292
151040,3-4-1,715.3
151040,4-3-1,2891
151040,5-3-1,444.8
151040,6-3-1,584.7
151040,1-4-3,434.5
151040,2-4-3,1565
151040,3-4-2,822.7
151040,4-3-2,4625
151040,5-3-2,524.3
151040,6-3-2,615.8
151040,1-4-5,461.5
151040,2-4-5,2449
151040,3-4-5,1078
151040,4-3-5,3202
151040,5-3-4,2538
151040,6-3-4,2538
151040,1-4-6,481.8
151040,2-4-6,2392
151040,3-4-6,1030
151040,4-3-6,4163
151040,5-3-6,581.4
151040,6-3-5,946.2
151040,1-5-2,31
151040,2-5-1,253.8
151040,3-5-1,133.1
151040,4-5-1,4625
151040,5-4-1,3106
151040,6-4-1,5077
151040,1-5-3,39.5
151040,2-5-3,430
151040,3-5-2,149.9
151040,4-5-2,5077
151040,5-4-2,3589
151040,6-4-2,5077
151040,1-5-4,331.4
151040,2-5-4,1749
151040,3-5-4,644.4
151040,4-5-3,3589
151040,5-4-3,4841
151040,6-4-3,6715
151040,1-5-6,57.8
151040,2-5-6,289.9
151040,3-5-6,170.9
151040,4-5-6,3252
151040,5-4-6,2891
151040,6-4-5,4163
151040,1-6-2,33.4
151040,2-6-1,155.1
151040,3-6-1,172.8
151040,4-6-1,4163
151040,5-6-1,375.7
151040,6-5-1,725.3
151040,1-6-3,47.4
151040,2-6-3,266.8
151040,3-6-2,166.6
151040,4-6-2,5204
151040,5-6-2,510.2
151040,6-5-2,826
151040,1-6-4,398
151040,2-6-4,1577
151040,3-6-4,991.2
151040,4-6-3,4625
151040,5-6-3,614
151040,6-5-3,977.3
151040,1-6-5,83
151040,2-6-5,401.8
151040,3-6-5,249.3
151040,4-6-5,3589
151040,5-6-4,2124
151040,6-5-4,3202
151041,1-2-3,6
151041,2-1-3,32
151041,3-1-2,32.7
151041,4-1-2,90.7
151041,5-1-2,273.7
151041,6-1-2,756.3
151041,1-2-4,8.7
151041,2-1-4,41.3
151041,3-1-4,38
151041,4-1-3,114.9
151041,5-1-3,254.3
151041,6-1-3,1061
151041,1-2-5,14.4
151041,2-1-5,66.7
151041,3-1-5,34.2
151041,4-1-5,102.2
151041,5-1-4,380.3
151041,6-1-4,1196
151041,1-2-6,85.2
151041,2-1-6,270
151041,3-1-6,270.4
151041,4-1-6,365.5
151041,5-1-6,1055
151041,6-1-5,1265
151041,1-3-2,7.1
151041,2-3-1,72.5
151041,3-2-1,75.1
151041,4-2-1,183.9
151041,5-2-1,554.4
151041,6-2-1,1265
151041,1-3-4,11.5
151041,2-3-4,135.9
151041,3-2-4,123.2
151041,4-2-3,391.6
151041,5-2-3,704.9
151041,6-2-3,1898
151041,1-3-5,10.4
151041,2-3-5,163.2
151041,3-2-5,119.2
