race_id,combo,odds
151495,1-2-3,2.3
151495,2-1-3,30.2
151495,3-1-2,89.4
151495,4-1-2,782.7
151495,5-1-2,143.6
151495,6-1-2,238.6
151495,1-2-4,23.1
151495,2-1-4,156.9
151495,3-1-4,297.2
151495,4-1-3,940.2
151495,5-1-3,204.3
151495,6-1-3,418.1
151495,1-2-5,8.1
151495,2-1-5,59
151495,3-1-5,141.9
151495,4-1-5,999.9
151495,5-1-4,718.7
151495,6-1-4,1458
151495,1-2-6,20.3
151495,2-1-6,162
151495,3-1-6,369.1
151495,4-1-6,1573
151495,5-1-6,437.7
151495,6-1-5,738.2
151495,1-3-2,4.6
151495,2-3-1,96.2
151495,3-2-1,162.6
151495,4-2-1,1195
151495,5-2-1,239.9
151495,6-2-1,454.4
151495,1-3-4,42.2
151495,2-3-4,553.7
151495,3-2-4,799.4
151495,4-2-3,1708
151495,5-2-3,426.5
151495,6-2-3,879.4
151495,1-3-5,13.9
151495,2-3-5,209.3
151495,3-2-5,359.8
151495,4-2-5,1779
151495,5-2-4,1141
151495,6-2-4,1328
151495,1-3-6,38.7
151495,2-3-6,580.5
151495,3-2-6,814.7
151495,4-2-6,2577
151495,5-2-6,849.4
151495,6-2-5,1403
151495,1-4-2,84.4
151495,2-4-1,608.9
151495,3-4-1,906
151495,4-3-1,1494
151495,5-3-1,378.9
151495,6-3-1,943.2
151495,1-4-3,114.9
151495,2-4-3,993.3
151495,3-4-2,1410
151495,4-3-2,2391
151495,5-3-2,542.6
151495,6-3-2,1210
151495,1-4-5,151.1
151495,2-4-5,1340
151495,3-4-5,1880
151495,4-3-5,3082
151495,5-3-4,2020
151495,6-3-4,3215
151495,1-4-6,201.7
151495,2-4-6,1167
151495,3-4-6,2166
151495,4-3-6,3322
151495,5-3-6,1801
151495,6-3-5,2768
151495,1-5-2,25.9
151495,2-5-1,203.4
151495,3-5-1,384.3
151495,4-5-1,1698
151495,5-4-1,1541
151495,6-4-1,2299
151495,1-5-3,35.1
151495,2-5-3,346.4
151495,3-5-2,562
151495,4-5-2,2299
151495,5-4-2,1980
151495,6-4-2,2768
151495,1-5-4,151.7
151495,2-5-4,1163
151495,3-5-4,1941
151495,4-5-3,3180
151495,5-4-3,2577
151495,6-4-3,3114
151495,1-5-6,131.5
151495,2-5-6,940.2
151495,3-5-6,1758
151495,4-5-6,2373
151495,5-4-6,2006
151495,6-4-5,2533
151495,1-6-2,61.6
151495,2-6-1,665.9
151495,3-6-1,1465
151495,4-6-1,2646
151495,5-6-1,879.4
151495,6-5-1,1136
151495,1-6-3,90.9
151495,2-6-3,914.3
151495,3-6-2,1880
151495,4-6-2,2450
151495,5-6-2,1177
151495,6-5-2,1941
151495,1-6-4,294.2
151495,2-6-4,2076
151495,3-6-4,3114
151495,4-6-3,3359
151495,5-6-3,1904
151495,6-5-3,2599
151495,1-6-5,235.9
151495,2-6-5,1458
151495,3-6-5,2214
151495,4-6-5,2794
151495,5-6-4,2231
151495,6-5-4,2820
151496,1-2-3,12.3
151496,2-1-3,43.5
151496,3-1-2,261.3
151496,4-1-2,35.7
151496,5-1-2,49.2
151496,6-1-2,2282
151496,1-2-4,4.6
151496,2-1-4,14.6
151496,3-1-4,316.6
151496,4-1-3,188.8
151496,5-1-3,187
151496,6-1-3,5406
151496,1-2-5,5.8
151496,2-1-5,17
151496,3-1-5,326.7
151496,4-1-5,41.4
151496,5-1-4,65.4
151496,6-1-4,4814
151496,1-2-6,228.5
151496,2-1-6,304.7
151496,3-1-6,2216
151496,4-1-6,363.3
151496,5-1-6,506.8
151496,6-1-5,3804
151496,1-3-2,37.6
151496,2-3-1,167.1
151496,3-2-1,354.6
151496,4-2-1,61.5
151496,5-2-1,91.6
151496,6-2-1,2567
151496,1-3-4,63.4
151496,2-3-4,279.3
151496,3-2-4,476.2
151496,4-2-3,281.6
151496,5-2-3,362.5
151496,6-2-3,4740
151496,1-3-5,62.7
151496,2-3-5,318.3
151496,3-2-5,567.4
151496,4-2-5,77.1
151496,5-2-4,137
151496,6-2-4,4221
151496,1-3-6,650.1
151496,2-3-6,2201
151496,3-2-6,3176
151496,4-2-6,631.4
151496,5-2-6,853.5
151496,6-2-5,4740
151496,1-4-2,12
151496,2-4-1,51.4
151496,3-4-1,512.7
151496,4-3-1,483.7
151496,5-3-1,505.9
151496,6-3-1,7003
151496,1-4-3,60.1
151496,2-4-3,215.7
151496,3-4-2,531.2
151496,4-3-2,517
151496,5-3-2,770.3
151496,6-3-2,6698
151496,1-4-5,19.8
151496,2-4-5,84.3
151496,3-4-5,626.3
151496,4-3-5,545.3
151496,5-3-4,1003
151496,6-3-4,7515
151496,1-4-6,300.3
151496,2-4-6,895.7
151496,3-4-6,3021
151496,4-3-6,2185
151496,5-3-6,2934
151496,6-3-5,6162
151496,1-5-2,13.2
151496,2-5-1,64.1
151496,3-5-1,557.2
151496,4-5-1,50.2
151496,5-4-1,91
151496,6-4-1,5502
151496,1-5-3,68.2
151496,2-5-3,262.4
151496,3-5-2,726.7
151496,4-5-2,53.1
151496,5-4-2,102.5
151496,6-4-2,5312
151496,1-5-4,25.9
151496,2-5-4,110.8
151496,3-5-4,758.9
151496,4-5-3,277.3
151496,5-4-3,439.5
151496,6-4-3,7166
151496,1-5-6,400.1
151496,2-5-6,930.9
151496,3-5-6,3021
151496,4-5-6,282.1
151496,5-4-6,519.6
151496,6-4-5,4054
151496,1-6-2,737.1
151496,2-6-1,1639
151496,3-6-1,4740
151496,4-6-1,1375
151496,5-6-1,1845
151496,6-5-1,4814
151496,1-6-3,1867
151496,2-6-3,4001
151496,3-6-2,4531
151496,4-6-2,1481
151496,5-6-2,2265
151496,6-5-2,5925
151496,1-6-4,1305
151496,2-6-4,2776
151496,3-6-4,4402
151496,4-6-3,2589
151496,5-6-3,3423
151496,6-5-3,4970
151496,1-6-5,1242
151496,2-6-5,2703
151496,3-6-5,3950
151496,4-6-5,1062
151496,5-6-4,1770
151496,6-5-4,4108
151497,1-2-3,6.8
151497,2-1-3,17.6
151497,3-1-2,32.5
151497,4-1-2,75.7
151497,5-1-2,201.8
151497,6-1-2,2414
151497,1-2-4,10.4
151497,2-1-4,22.3
151497,3-1-4,37.4
151497,4-1-3,78.3
151497,5-1-3,158.3
151497,6-1-3,2803
151497,1-2-5,24.1
151497,2-1-5,44.1
151497,3-1-5,45.7
151497,4-1-5,89.7
151497,5-1-4,227.3
151497,6-1-4,4042
151497,1-2-6,185.2
151497,2-1-6,255.6
151497,3-1-6,259.6
151497,4-1-6,419.3
151497,5-1-6,629.8
151497,6-1-5,3659
151497,1-3-2,8.6
151497,2-3-1,39.8
151497,3-2-1,59.1
151497,4-2-1,107.5
151497,5-2-1,330.4
151497,6-2-1,2674
151497,1-3-4,10.2
151497,2-3-4,46.3
151497,3-2-4,73
151497,4-2-3,157.2
151497,5-2-3,474.9
151497,6-2-3,3659
151497,1-3-5,17.9
151497,2-3-5,77.4
151497,3-2-5,104.4
151497,4-2-5,175.6
151497,5-2-4,591.2
151497,6-2-4,5348
151497,1-3-6,149.9
151497,2-3-6,431.3
151497,3-2-6,515
151497,4-2-6,675
151497,5-2-6,1147
151497,6-2-5,5189
151497,1-4-2,22.6
151497,2-4-1,60.2
151497,3-4-1,81.1
151497,4-3-1,145.5
151497,5-3-1,245.5
151497,6-3-1,3584
151497,1-4-3,23.5
151497,2-4-3,67.4
151497,3-4-2,98.8
151497,4-3-2,191.8
151497,5-3-2,515
151497,6-3-2,5432
151497,1-4-5,40.3
151497,2-4-5,123.6
151497,3-4-5,120.2
151497,4-3-5,194.9
151497,5-3-4,512.7
151497,6-3-4,4574
151497,1-4-6,156.2
151497,2-4-6,569
151497,3-4-6,428.1
151497,4-3-6,700.9
151497,5-3-6,880.1
151497,6-3-5,3906
151497,1-5-2,51.8
151497,2-5-1,165.6
151497,3-5-1,130.1
151497,4-5-1,115
151497,5-4-1,305.5
151497,6-4-1,4828
151497,1-5-3,44.8
151497,2-5-3,177.6
151497,3-5-2,188.2
151497,4-5-2,195.8
151497,5-4-2,515.8
