race_id,combo,amount
143381,3-4-1,18940
143382,3-1-2,4090
143383,3-1-6,34060
143384,3-4-1,15920
143385,1-3-2,1080
143386,1-6-2,2450
143387,4-2-3,5700
143388,1-5-3,2800
143389,2-4-1,4710
143390,1-4-3,3930
143391,1-2-4,690
143392,3-4-2,40420
143417,1-3-2,510
143418,4-2-1,18850
143419,2-4-1,2970
143420,1-4-2,1260
143421,1-3-4,1920
143422,3-1-6,1860
143423,1-3-5,3140
143424,1-5-3,7540
143425,1-3-6,2010
143426,1-3-2,730
143427,1-3-2,720
143428,1-3-4,790
143357,2-3-4,6700
143358,3-4-1,4150
143359,1-4-2,640
143360,3-2-5,9000
143361,3-2-4,2500
143362,1-5-6,3320
143363,1-2-5,360
143364,1-2-3,820
143365,1-4-6,1310
143366,1-2-3,1290
143367,1-4-2,1880
143368,1-3-4,1360
143465,2-3-4,30350
143466,1-4-5,2720
143467,4-6-3,25310
143468,4-1-6,12340
143469,1-5-3,7400
143470,2-5-4,3840
143471,2-3-1,6480
143472,1-6-5,8530
143473,1-2-3,700
143474,2-3-1,5490
143475,1-3-2,670
143476,1-6-3,14260
143429,3-2-6,12440
143430,3-4-2,2000
143431,1-2-5,1270
143432,2-1-5,2720
143433,1-5-3,11050
143434,2-1-4,910
143435,1-4-6,1130
143436,1-6-2,2100
143437,1-4-3,690
143438,2-1-3,1490
143439,1-4-2,1610
143440,1-4-3,1360
143393,1-5-3,5170
143394,2-3-4,2720
143395,2-1-6,2150
143396,2-3-4,12150
143397,4-5-6,33410
143398,4-5-1,2290
143399,1-4-3,860
143400,4-6-2,1700
143401,1-4-2,1190
143402,3-4-2,25910
143403,1-2-5,1880
143404,1-6-3,2830
143333,1-3-4,4450
143334,1-3-2,5120
143335,6-3-5,6160
143336,2-3-5,1440
143337,4-5-6,3330
143338,2-1-3,2270
143339,1-2-5,870
143340,2-5-6,16800
143341,1-2-6,920
143342,1-6-2,6780
143343,1-4-2,1360
143344,3-2-1,10550
143345,1-6-2,3260
143346,1-5-6,5260
143347,3-2-6,2240
143348,2-4-1,19130
143349,4-3-1,11930
143350,4-1-2,5350
143351,2-6-1,9800
143352,4-1-6,5680
143353,3-4-2,1880
143354,3-1-6,4380
143355,1-2-4,1350
143356,3-1-4,6220
143369,1-4-5,2810
143370,1-4-5,6840
143371,1-2-4,940
143372,6-5-4,4590
143373,6-1-5,11470
143374,2-3-5,1230
143375,3-5-2,1640
143376,1-3-5,4180
143377,4-3-1,67990
143378,1-3-6,1160
143379,1-2-6,840
143380,5-6-1,36730
143453,1-3-6,800
143454,1-4-2,390
143455,1-5-4,6380
143456,1-2-3,540
143457,6-5-1,1420
143458,5-3-6,6010
143459,2-5-1,9890
143460,6-2-1,1650
143461,1-2-4,1640
143462,1-3-2,1180
143463,1-2-6,2200
143464,1-2-4,800
143441,4-1-3,12280
143442,1-2-4,1020
143443,1-4-3,6510
143444,2-4-3,3230
143445,1-3-2,780
143446,1-4-2,990
143447,1-5-4,3370
143448,1-2-3,560
143449,1-4-5,1900
143450,1-3-2,3570
143451,1-2-3,1330
143452,1-3-2,490
143405,1-4-5,1360
143406,1-3-2,550
143407,3-2-6,3630
143408,1-2-5,1510
143409,1-2-3,630
143410,6-1-2,2980
143411,1-4-5,1520
143412,2-4-5,26530
143413,1-4-3,1070
143414,2-6-3,43360
143415,1-4-2,1270
143416,1-2-4,1260
