race_id,combo,amount
145301,1-6-4,17430
145302,1-2-4,640
145303,1-4-3,1110
145304,2-3-5,6940
145305,5-2-1,3900
145306,1-4-6,17000
145307,3-4-5,3750
145308,1-6-3,11180
145309,1-3-5,1000
145310,1-4-2,2910
145311,2-1-4,3280
145312,1-2-5,1400
145361,1-6-2,12430
145362,6-5-2,16630
145363,3-2-6,25210
145364,5-3-6,10970
145365,1-4-6,490
145366,4-1-2,5430
145367,1-2-4,590
145368,3-4-6,4690
145369,3-5-6,3480
145370,1-3-5,2750
145371,1-3-6,3780
145372,4-1-3,23790
145325,1-2-3,630
145326,1-5-4,2860
145327,2-1-4,3780
145328,2-1-3,2070
145329,1-3-2,1140
145330,1-6-3,1890
145331,3-1-2,5580
145332,5-4-2,8060
145333,1-4-2,850
145334,1-2-4,450
145335,1-4-2,1360
145336,2-1-3,6460
145277,2-1-6,30450
145278,2-1-3,680
145279,1-3-2,2240
145280,5-2-6,4750
145281,1-3-5,260
145282,4-6-1,4820
145283,1-2-3,8140
145284,4-1-6,1390
145285,1-3-2,1130
145286,1-6-5,770
145287,1-3-4,2590
145288,1-3-4,870
145241,3-2-6,1540
145242,1-2-4,2610
145243,3-6-5,470
145244,3-5-2,4940
145245,2-4-6,2830
145246,1-2-6,8330
145247,1-3-2,820
145248,6-3-4,4570
145249,2-1-4,1830
145250,2-1-4,1580
145251,1-5-2,2160
145252,1-3-2,8200
145349,1-2-6,2640
145350,1-2-4,620
145351,3-4-1,5220
145352,1-3-4,1630
145353,2-4-1,9880
145354,5-1-2,33690
145355,1-3-6,2780
145356,1-2-4,500
145357,3-5-4,6200
145358,1-3-2,830
145359,1-3-6,1560
145360,1-6-2,8030
145289,1-4-5,1410
145290,1-3-2,1800
145291,4-1-3,19860
145292,2-1-3,1960
145293,1-2-6,6650
145294,1-3-2,2830
145295,3-1-4,1590
145296,3-4-2,5710
145297,1-3-6,440
145298,2-1-4,5880
145299,1-3-2,1760
145300,1-4-2,2670
145253,1-3-5,1320
145254,1-3-6,5600
145255,1-6-5,18430
145256,1-2-3,450
145257,1-3-4,1400
145258,1-5-2,1400
145259,1-2-3,760
145260,2-1-4,2430
145261,1-6-2,2210
145262,1-5-2,2470
145263,3-1-4,8110
145264,3-1-2,3500
145313,3-1-6,9560
145314,4-1-5,3940
145315,3-4-6,1310
145316,1-4-2,7640
145317,1-4-3,1220
145318,2-3-1,4820
145319,1-3-5,920
145320,3-5-2,6560
145321,1-3-6,6880
145322,4-1-2,2600
145323,3-1-4,3530
145324,1-2-4,1520
145385,1-2-6,2110
145386,2-1-3,3820
145387,1-3-2,930
145388,3-6-2,2550
145389,1-3-2,2080
145390,1-6-3,1840
145391,1-3-2,590
145392,1-2-3,470
145393,1-5-2,1050
145394,1-2-3,480
145395,3-1-4,6420
145396,1-4-3,1510
145373,2-5-4,2230
145374,2-1-3,4280
145375,4-3-6,7640
145376,1-3-2,940
145377,2-1-4,1560
145378,1-5-6,11200
145379,2-1-3,2140
145380,4-2-3,38630
145381,1-3-6,1630
145382,1-2-4,1790
145383,1-3-6,1050
145384,1-2-3,560
145265,2-4-3,1690
145266,6-2-3,67940
145267,1-5-4,2100
145268,3-6-5,8560
145269,3-1-5,1540
145270,1-2-3,1170
145271,4-3-1,7390
145272,2-3-5,8250
145273,6-2-1,15750
145274,5-3-1,16710
145275,1-6-2,6040
145276,2-1-4,4240
145337,1-3-5,2840
145338,1-5-3,3770
145339,3-1-5,1880
145340,4-2-5,3030
145341,1-2-5,1200
145342,2-1-5,1330
145343,1-4-3,9900
145344,1-2-3,1290
145345,6-3-4,37680
145346,2-4-3,13550
145347,1-2-5,2930
145348,2-6-5,81440
