race_id,date,venue,lane,player_id,global_win_rate,global_2rate,local_win_rate,local_2rate,local_race_cnt,grade_period,avg_st,course_rank1,course_count,course_rank2,recent10_avg_rank,recent10_win_rate,recent10_st_mean,recent10_count,exhibit_time_raw,exhibit_time_rel,start_timing,motor_2rate,motor_2rate_rel,wind_speed,wave_height,temperature,score_total_current,model_version,is_winner
150979,2026-09-24,桐生,1,3538,4.58,23,0.1207,0.2586,58,B2,0.22,21,54,37,4.5,0,0.178,10,6.72,0.8667,0.21,41.54,0.954,3,2,22,27.63,v2_lr,0
150979,2026-09-24,桐生,2,4892,4.86,31.7,0.0909,0.4545,11,B1,0.17,9,74,33,2.6,0.2,0.185,10,6.73,0.8,0.11,41.1,0.9234,3,2,22,19.11,v2_lr,0
150979,2026-09-24,桐生,3,4798,6.37,41.9,0.2778,0.4167,36,A1,0.13,21,80,34,2.5,0.3,0.115,10,6.79,0.4,0.13,33.67,0.406,3,2,22,24.41,v2_lr,0
150979,2026-09-24,桐生,4,5114,5.32,36.8,0.25,0.5625,16,B1,0.15,13,78,26,3.1,0.2,0.164,10,6.85,0,0.04,42.2,1,3,2,22,14.83,v2_lr,1
150979,2026-09-24,桐生,5,4351,7.01,53.1,0.2941,0.5294,17,A1,0.15,5,62,24,2.4,0.3,0.139,10,6.82,0.2,0.02,27.84,0,3,2,22,11.79,v2_lr,0
150979,2026-09-24,桐生,6,5061,3.69,17.6,0.08,0.24,25,B1,0.17,0,42,1,5.6,0,0.163,10,6.7,1,0.22,38.86,0.7674,3,2,22,2.24,v2_lr,0
150980,2026-09-24,桐生,1,4485,5.26,32.7,0.1538,0.5385,26,B1,0.17,37,73,55,3.4,0.2,0.181,10,6.76,0.5625,0.11,37.88,0.969,4,3,26,25.77,v2_lr,0
150980,2026-09-24,桐生,2,4834,5.81,35.8,0.2903,0.4194,31,A2,0.15,15,84,35,3,0.2,0.131,10,6.82,0.1875,0.23,32.16,0.4142,4,3,26,25.94,v2_lr,0
150980,2026-09-24,桐生,3,3654,6.17,46.6,0.44,0.64,25,A2,0.16,15,76,39,2.6,0.4,0.12,10,6.79,0.375,0.12,32.83,0.4791,4,3,26,29.86,v2_lr,1
150980,2026-09-24,桐生,4,4228,5.87,40.1,0.1304,0.3043,23,A2,0.17,6,73,24,4,0,0.178,10,6.8,0.3125,0.17,27.89,0,4,3,26,6.1,v2_lr,0
150980,2026-09-24,桐生,5,4434,6.14,45.8,0.2353,0.5882,17,A2,0.15,1,68,14,2.9,0.2,0.186,10,6.69,1,0.1,38.2,1,4,3,26,11.53,v2_lr,0
150980,2026-09-24,桐生,6,3352,4.51,11.4,0,0.0476,21,B1,,7,243,33,3.8,0,0.138,10,6.85,0,0.08,36.36,0.8215,4,3,26,0.8,v2_lr,0
150981,2026-09-24,桐生,1,4330,5.97,40.6,0.3333,0.6667,6,A2,0.12,57,77,65,2.7,0.2,0.122,10,6.67,1,0.01,50.59,1,3,2,25,40.12,v2_lr,1
150981,2026-09-24,桐生,2,3659,5.68,36,0.1504,0.4159,113,A2,0.16,5,67,30,3.4,0.1,0.168,10,6.88,0.0455,0.06,36.97,0.261,3,2,25,20.48,v2_lr,0
150981,2026-09-24,桐生,3,4311,6.53,48.7,0.3043,0.3913,23,A1,0.12,15,78,34,3,0.4,0.185,10,6.72,0.7727,0.15,34.41,0.1221,3,2,25,29.55,v2_lr,0
150981,2026-09-24,桐生,4,4872,4.5,25.6,0.0606,0.2121,33,B1,0.15,5,69,16,4.1,0.1,0.214,10,6.89,0,0.02,32.16,0,3,2,25,4.22,v2_lr,0
150981,2026-09-24,桐生,5,4654,6.28,43.9,0.1111,0.3333,18,A1,0.16,1,54,13,2.7,0.2,0.141,10,6.78,0.5,0.03,34.48,0.1259,3,2,25,4.64,v2_lr,0
150981,2026-09-24,桐生,6,5427,2.44,2.1,0,0,29,B1,,1,92,4,4.5,0,0.161,10,6.75,0.6364,0.18,36.79,0.2512,3,2,25,0.98,v2_lr,0
