race_id,combo,odds
150583,1-2-3,12.1
150583,2-1-3,46.6
150583,3-1-2,325.4
150583,4-1-2,279.9
150583,5-1-2,36.9
150583,6-1-2,182
150583,1-2-4,23
150583,2-1-4,69.4
150583,3-1-4,605.5
150583,4-1-3,701.3
150583,5-1-3,185.1
150583,6-1-3,699.3
150583,1-2-5,5.1
150583,2-1-5,15.6
150583,3-1-5,313
150583,4-1-5,244.8
150583,5-1-4,152.2
150583,6-1-4,795.7
150583,1-2-6,9.4
150583,2-1-6,22
150583,3-1-6,556.6
150583,4-1-6,346.2
150583,5-1-6,44.4
150583,6-1-5,219.9
150583,1-3-2,33.8
150583,2-3-1,165.7
150583,3-2-1,469.3
150583,4-2-1,480.2
150583,5-2-1,70.7
150583,6-2-1,230.5
150583,1-3-4,84.6
150583,2-3-4,353.1
150583,3-2-4,1074
150583,4-2-3,1229
150583,5-2-3,339.1
150583,6-2-3,859.1
150583,1-3-5,36.6
150583,2-3-5,234.6
150583,3-2-5,687.7
150583,4-2-5,543.2
150583,5-2-4,364
150583,6-2-4,906.1
150583,1-3-6,67.6
150583,2-3-6,265.5
150583,3-2-6,902.8
150583,4-2-6,619.1
150583,5-2-6,105.6
150583,6-2-5,299.1
150583,1-4-2,57.9
150583,2-4-1,262.7
150583,3-4-1,1171
150583,4-3-1,1371
150583,5-3-1,515.1
150583,6-3-1,1235
150583,1-4-3,121.1
150583,2-4-3,509.8
150583,3-4-2,1581
150583,4-3-2,1591
150583,5-3-2,660.3
150583,6-3-2,1286
150583,1-4-5,65.3
150583,2-4-5,368.9
150583,3-4-5,1260
150583,4-3-5,1655
150583,5-3-4,1176
150583,6-3-4,1655
150583,1-4-6,94.2
150583,2-4-6,361.4
150583,3-4-6,1677
150583,4-3-6,2018
150583,5-3-6,785.7
150583,6-3-5,1435
150583,1-5-2,10
150583,2-5-1,47.2
150583,3-5-1,560.4
150583,4-5-1,243.6
150583,5-4-1,311.1
150583,6-4-1,1193
150583,1-5-3,37.7
150583,2-5-3,178.8
150583,3-5-2,783.2
150583,4-5-2,356.2
150583,5-4-2,447.3
150583,6-4-2,1154
150583,1-5-4,42
150583,2-5-4,228.8
150583,3-5-4,1313
150583,4-5-3,877.3
150583,5-4-3,933.3
150583,6-4-3,2197
150583,1-5-6,14.1
150583,2-5-6,72.3
150583,3-5-6,880.4
150583,4-5-6,234.6
150583,5-4-6,297.7
150583,6-4-5,824.8
150583,1-6-2,35.2
150583,2-6-1,94.3
150583,3-6-1,1193
150583,4-6-1,554.2
150583,5-6-1,98.4
150583,6-5-1,247.2
150583,1-6-3,114.4
150583,2-6-3,333.7
150583,3-6-2,1460
150583,4-6-2,715.5
150583,5-6-2,119.5
