race_id,date,venue,lane,player_id,global_win_rate,global_2rate,local_win_rate,local_2rate,local_race_cnt,grade_period,avg_st,course_rank1,course_count,course_rank2,recent10_avg_rank,recent10_win_rate,recent10_st_mean,recent10_count,exhibit_time_raw,exhibit_time_rel,start_timing,motor_2rate,motor_2rate_rel,wind_speed,wave_height,temperature,score_total_current,model_version,is_winner
143333,2026-09-11,戸田,1,3075,4.31,25.5,0.1356,0.339,59,B1,0.16,19,61,29,3,0,0.123,10,6.71,0.3125,0.06,25,0,0,0,21,31.56,v2_lr,1
143333,2026-09-11,戸田,2,4674,5.35,32.3,0.2143,0.3571,14,B1,0.16,8,70,23,3.6,0,0.119,10,6.62,0.875,-0.01,26.09,0.061,0,0,21,34.39,v2_lr,0
143333,2026-09-11,戸田,3,4572,5.23,35.5,0.16,0.36,25,B1,0.18,11,68,26,4.3,0.1,0.141,10,6.76,0,-0.03,26.32,0.0739,0,0,21,14.24,v2_lr,0
143333,2026-09-11,戸田,4,3834,3.68,16.3,0.1429,0.4286,7,B1,0.19,1,54,8,4.1,0,0.15,10,6.65,0.6875,0.03,28.57,0.1999,0,0,21,7.84,v2_lr,0
143333,2026-09-11,戸田,5,4555,5.26,32.1,0.0714,0.2143,14,B1,0.18,0,59,9,3.6,0.1,0.184,10,6.6,1,0,42.86,1,0,0,21,7.75,v2_lr,0
143333,2026-09-11,戸田,6,4631,4.63,29.3,0.2143,0.5714,14,B1,0.17,1,53,6,4.7,0,0.185,10,6.65,0.6875,-0.03,25,0,0,0,21,4.22,v2_lr,0
143334,2026-09-11,戸田,1,3692,4.39,20.1,0.1667,0.2917,24,B1,0.19,30,68,44,3.3,0.2,0.124,10,6.64,0.6,0.08,62.5,0.9043,1,1,19,29.77,v2_lr,1
143334,2026-09-11,戸田,2,5038,6.41,47.5,0.25,0.375,16,A2,0.18,14,76,38,2.8,0.2,0.143,10,6.58,1,0.04,47.83,0.5678,1,1,19,31.95,v2_lr,0
143334,2026-09-11,戸田,3,4325,4.37,16.4,0.0667,0.1333,15,B1,0.17,2,67,12,4.5,0,0.128,10,6.7,0.2,0.03,23.08,0,1,1,19,7.38,v2_lr,0
143334,2026-09-11,戸田,4,4887,5.17,38,0.2813,0.375,32,B1,0.15,10,60,17,3.2,0.2,0.169,10,6.73,0,-0.06,25,0.044,1,1,19,12.74,v2_lr,0
143334,2026-09-11,戸田,5,4706,5.76,38.9,0.1935,0.2903,31,A2,0.18,7,75,20,2.8,0.1,0.193,10,6.68,0.3333,-0.01,66.67,1,1,1,19,7.93,v2_lr,0
