race_id,combo,odds
143009,1-2-3,5.3
143009,2-1-3,91.3
143009,3-1-2,96.2
143009,4-1-2,285.6
143009,5-1-2,83.6
143009,6-1-2,1778
143009,1-2-4,11.6
143009,2-1-4,156.3
143009,3-1-4,160.6
143009,4-1-3,367.8
143009,5-1-3,109.1
143009,6-1-3,2230
143009,1-2-5,5.3
143009,2-1-5,84
143009,3-1-5,72.8
143009,4-1-5,230.7
143009,5-1-4,225.5
143009,6-1-4,2555
143009,1-2-6,161.5
143009,2-1-6,846.5
143009,3-1-6,536.3
143009,4-1-6,895.1
143009,5-1-6,471.5
143009,6-1-5,2097
143009,1-3-2,6.4
143009,2-3-1,245.2
143009,3-2-1,224.4
143009,4-2-1,546.8
143009,5-2-1,249.1
143009,6-2-1,2381
143009,1-3-4,22.4
143009,2-3-4,763.7
143009,3-2-4,408.5
143009,4-2-3,1003
143009,5-2-3,548.9
143009,6-2-3,4533
143009,1-3-5,8.9
143009,2-3-5,427.1
143009,3-2-5,250.9
143009,4-2-5,856.9
143009,5-2-4,962.5
143009,6-2-4,5405
143009,1-3-6,192.2
143009,2-3-6,2007
143009,3-2-6,1391
143009,4-2-6,2097
143009,5-2-6,1673
143009,6-2-5,3903
143009,1-4-2,23.6
143009,2-4-1,566.6
143009,3-4-1,388.2
143009,4-3-1,672.4
143009,5-3-1,267.6
143009,6-3-1,3903
143009,1-4-3,37.1
143009,2-4-3,1018
143009,3-4-2,619
143009,4-3-2,1391
143009,5-3-2,530.3
143009,6-3-2,5405
143009,1-4-5,27.3
143009,2-4-5,900.8
143009,3-4-5,468.4
143009,4-3-5,789.5
143009,5-3-4,1033
143009,6-3-4,4845
143009,1-4-6,230.3
143009,2-4-6,2702
143009,3-4-6,1713
143009,4-3-6,3603
143009,5-3-6,2342
143009,6-3-5,6387
143009,1-5-2,8
143009,2-5-1,260.7
143009,3-5-1,143.5
143009,4-5-1,312.2
143009,5-4-1,414.5
143009,6-4-1,4533
143009,1-5-3,14.7
143009,2-5-3,557.6
143009,3-5-2,286.2
143009,4-5-2,699.1
143009,5-4-2,836.5
143009,6-4-2,7026
143009,1-5-4,29.5
143009,2-5-4,900.8
143009,3-5-4,408.5
143009,4-5-3,630.1
143009,5-4-3,1040
143009,6-4-3,7807
143009,1-5-6,130.6
143009,2-5-6,2602
143009,3-5-6,1190
143009,4-5-6,1511
143009,5-4-6,2303
143009,6-4-5,8266
143009,1-6-2,436.4
143009,2-6-1,2422
143009,3-6-1,1825
143009,4-6-1,2266
143009,5-6-1,1313
143009,6-5-1,2509
143009,1-6-3,528.3
143009,2-6-3,5019
143009,3-6-2,2381
143009,4-6-2,4391
143009,5-6-2,2036
143009,6-5-2,3798
143009,1-6-4,600.5
143009,2-6-4,4684
143009,3-6-4,2651
143009,4-6-3,4391
143009,5-6-3,2422
143009,6-5-3,5019
143009,1-6-5,463.8
143009,2-6-5,3268
143009,3-6-5,2465
143009,4-6-5,4015
143009,5-6-4,2810
143009,6-5-4,5204
143010,1-2-3,86.2
143010,2-1-3,96.6
143010,3-1-2,125.6
143010,4-1-2,350.3
143010,5-1-2,101.7
143010,6-1-2,1431
143010,1-2-4,145.3
143010,2-1-4,170.6
143010,3-1-4,108.2
143010,4-1-3,337.1
143010,5-1-3,104.6
143010,6-1-3,1233
143010,1-2-5,52
143010,2-1-5,62.6
143010,3-1-5,64.1
143010,4-1-5,192.2
143010,5-1-4,165.2
143010,6-1-4,1564
143010,1-2-6,178.6
143010,2-1-6,243.1
143010,3-1-6,206.9
143010,4-1-6,414.5
143010,5-1-6,124.5
143010,6-1-5,954.1
143010,1-3-2,105.2
143010,2-3-1,115.9
143010,3-2-1,143.3
143010,4-2-1,333.4
143010,5-2-1,86.7
